Position	Name	Birthdate	Birthplace	Team
G	Raymond Bonney	2 April 1892	Phoenix, New York	St. Paul A.C.
G	Cyril Weidenborner	30 March 1895	Saint Paul, Minnesota	St. Paul A.C.
D	Edward Fitzgerald	3 August 1890	Northfield, Minnesota	St. Paul A.C.
D	Moose Goheen	9 February 1894	White Bear Lake, Minnesota	St. Paul A.C.
D	Leon Tuck	25 May 1891	Melrose, Massachusetts	Boston AA
Rover	Herbert Drury	2 March 1896	Midland, Ontario	Pittsburgh AA
F	Frank Synott	28 December 1891	Chatham, New Brunswick	Boston AA
LW	Anthony Conroy	19 October 1895	Saint Paul, Minnesota	St. Paul A.C.
C	George Geran	3 August 1896	Holyoke, Massachusetts	Boston AA
C	Lawrence McCormick	12 July 1890	Buckingham, Quebec	Pittsburgh AA
RW	Joseph McCormick	12 August 1894	Buckingham, Quebec	Pittsburgh AA
