Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	88	1:38:55.730	10	32
Oriol Servià	Newman/Haas Racing	88	+0.596 secs	4	28
Paul Tracy	Forsythe Racing	88	+1.335 secs	3	26
Justin Wilson	RuSPORT	88	+1.615 secs	2	24
Mario Domínguez	Forsythe Racing	88	+12.042 secs	8	21
Ronnie Bremer (R)	Dale Coyne Racing	88	+12.397 secs	16	20
Alex Tagliani	Team Australia	87	+ 1 Lap	6	17
Marcus Marshall (R)	Team Australia	87	+ 1 Lap	18	15
Nelson Philippe	Mi-Jack Conquest Racing	87	+ 1 Lap	12	13
Ricardo Sperafico (R)	Dale Coyne Racing	87	+ 1 Lap	13	11
Jimmy Vasser	PKV Racing	86	+ 2 Laps	7	10
Alex Sperafico	HVM Racing	86	+ 2 Laps	17	9
Timo Glock (R)	Rocketsports Racing	83	Contact	9	8
A. J. Allmendinger	RuSPORT	80	Contact	1	11
Björn Wirdheim (R)	HVM Racing	74	Contact	11	6
Ryan Hunter-Reay	Rocketsports Racing	51	Out of fuel	14	5
Cristiano da Matta	PKV Racing	7	Suspension	5	4
Andrew Ranger (R)	Mi-Jack Conquest Racing	3	Suspension	15	3
