Rank	Rider	Team	Speed	Time
1	Dan Sayle	250cc Honda	111.072mph	1:01.08.66
2	Nigel Moore	250cc Honda	110.823mph	1:01.16.88
3	Neil Kent	250cc Yamaha	110.207mph	1:01.37.44
4	Brian Mateer	250cc Yamaha	110.152mph	1:01.39.28
5	Brian Spooner	250cc Yamaha	110.58mph	1:01.42.45
6	Ivan Lintin	250cc Yamaha	108.512mph	1:02.35.20
7	Tom Snow	250cc Honda	106.944mph	1:03.30.24
8	Robert Knight	250cc Honda	106.050mph	1:04.02.37
9	Dean Martin	250cc Honda	105.112mph	1:04.36.68
10	Mark Waddell	250cc Honda	103.887mph	1:05.22.36
