Club	Head Coach	City	Stadium	2006-2007 season
Académica de Coimbra	Domingos Paciência Category:Articles with hCards	Coimbra	Estádio Cidade de Coimbra	13th in the Liga
Belenenses	Jorge Jesus Category:Articles with hCards	Lisbon	Estádio do Restelo	5th in the Liga
Benfica	Fernando Chalana Category:Articles with hCards	Lisbon	Estádio do Sport Lisboa e Benfica (Estádio da Luz)	3rd in the Liga
Boavista	Jaime Pacheco Category:Articles with hCards	Porto	Estádio do Bessa – Século XXI	9th in the Liga
Sporting de Braga	Jorge Costa Category:Articles with hCards	Braga	Estádio AXA ( Estádio Municipal de Braga )	4th in the Liga
Estrela da Amadora	Daúto Faquirá Category:Articles with hCards	Amadora	Estádio José Gomes	10th in the Liga
União de Leiria	Paulo Duarte	Leiria	Estádio Municipal de Leiria Dr. Magalhães Pessoa	7th in the Liga
Leixões	Carlos Brito	Matosinhos	Estádio do Mar	1st in the Liga de Honra
Marítimo	Sebastião Lazaroni Category:Articles with hCards	Funchal	Estádio dos Barreiros	12th in the Liga
Nacional	Predrag Jokanović Category:Articles with hCards	Funchal	Estádio da Madeira	8th in the Liga
Naval 1° de Maio	Ulisses Morais	Figueira da Foz	Estádio Municipal José Bento Pessoa	11th in the Liga
Paços de Ferreira	José Mota Category:Articles with hCards	Paços de Ferreira	Estádio da Mata Real	6th in the Liga
Porto	Jesualdo Ferreira Category:Articles with hCards	Porto	Estádio do Dragão	1st in the Liga
Sporting CP	Paulo Bento Category:Articles with hCards	Lisbon	Estádio José Alvalade – Século XXI	2nd in the Liga
Vitória de Guimarães	Manuel Cajuda Category:Articles with hCards	Guimarães	Estádio D. Afonso Henriques	2nd in the Liga de Honra
Vitória de Setúbal	Carlos Carvalhal Category:Articles with hCards	Setúbal	Estádio do Bonfim	14th in the Liga
