Name	Population (2011)	Population (2006)	Change (%)	Land area (km²)	Population density (per km²)
Black Point	47	—	—	—	—
Cole Bay	230	156	47.4	4.95	46.5
Dore Lake	28	30	-6.7	8.03	3.5
Jans Bay	187	181	3.3	5.94	31.5
Michel Village	66	79	-16.5	3.73	17.7
Patuanak	64	84	-23.8	1.34	47.6
St. George's Hill	100	19	426.3	1.46	68.7
Stony Rapids	243	255	-4.7	3.96	61.3
Timber Bay	93	139	-33.1	4.44	20.9
Turnor Lake	0	115	-100.0	4.62	0.0
Weyakwin	135	99	36.4	8.20	16.5
Total northern hamlets	1193	1157	3.1	46.67	25.6
