T-35	T-100	KV-1 M1940	KV-1 M1941	KV-1 M1942	KV-1S M1942	KV-85 M1943	IS-2 M1945	IS-3 M1945
11	7	5	5	5	5	4	4	4
45	58	43	45	47	42.5	46	46	46.5
76.2mm M. 27/32	76.2mm L-11	76.2mm F-32	76.2mm F-34	76.2mm ZiS-5	76.2mm ZiS-5	85mm D-5T	122mm D-25T	122mm D-25T
100	–	111	111	114	114	70	28	28
2×45mm 5×7.62mm	45mm	2× DT	4×DT	4×DT	4×DT	3×DT	2×DT, DShK	2×DT, DShK
500hp M-17M gasoline	500hp	600hp V-2K diesel	600hp V-2	600hp V-2	600hp V-2	600hp V-2	600hp V-2	600hp V-2-IS
910	–	600	600	600	975	975	820	520 + 270
30	35	35	35	28	45	40	37	37
150	–	335	335	250	250	250	240	150 (225)
11–30	20–70	25–75	30–90	20–130	30–82	30–160	30–160	20–220
