Year	Illinois	Indiana	Kentucky	Michigan	Ohio	Wisconsin
2001	Lansing East LL Lansing	Brownsburg LL Brownsburg	Owensboro Southern LL Owensboro	Roosevelt Park LL Roosevelt Park	Fairborn American LL Fairborn	Appleton Kiwanis LL Appleton
2002	Bradley-Bourbonnais American LL Bourbonnais	Brownsburg LL Brownsburg	Valley Sports LL Louisville	Grosse Pointe Farms-City LL Grosse Pointe Farms	West Side American LL Hamilton	Merrill LL Merrill
2003	Moline National LL Moline	Brooklyn LL Anderson	Owensboro Southern LL Owensboro	Midland Northeast LL Midland	Tallmadge LL Tallmadge	Wausau Western LL Wausau
2004	Mundelein National LL Mundelein	Highland LL Highland	Owensboro Southern LL Owensboro	Western LL Grand Rapids	West Side LL Hamilton	Appleton Einstein LL Appleton
2005	Limestone LL Kankakee	Seymour LL Seymour	Owensboro Southern LL Owensboro	Western LL Grand Rapids	Boardman Community East LL Boardman	Lakeland National LL Bristol
2006	Lemont LL Lemont	New Castle LL New Castle	Owensboro Southern LL Owensboro	Union Township Kids LL Mount Pleasant	West Side LL Hamilton	Appleton Einstein LL Appleton
2007	Western Springs LL Western Springs	New Albany LL New Albany	Warren County Southern LL Bowling Green	Taylor Northwest LL Taylor	West Side LL Hamilton	Wausau Northern LL Wausau
2008	Jackie Robinson LL Chicago	Jeff/GRC LL Jeffersonville	Bowling Green Eastern LL Bowling Green	Bay City Southwest LL Bay City	Mt. Vernon LL Mt. Vernon	Appleton Einstein LL Appleton
2009	Jackie Robinson LL Chicago	Bartholomew County National LL Bartholomew County	Logan County /Russellville LL Russellville	Grosse Pointe Farms- City LL Grosse Pointe	West Side LL Hamilton	West Madison American LL Madison
2010	Moline National LL Moline	Terre Haute North LL Terre Haute	Owensboro Southern LL Owensboro	Richmond LL Richmond	West Side LL Hamilton	Burlington LL Burlington
2011	Rock Falls LL Rock Falls	Golfmoor LL Evansville	North Oldham LL La Grange	Grosse Pointe Park LL Grosse Pointe Park	West Side LL Hamilton	Burlington LL Burlington
2012	Streator LL Streator	New Castle LL New Castle	Warren County South LL Bowling Green	North Saginaw Township LL Saginaw	West Side LL Hamilton	Eau Claire National LL Eau Claire
