1 January 2010	DF	Adam Hinshelwood	Aldershot Town	Wycombe Wanderers	Undisclosed
3 August 2009	GK	Nikki Bull	Aldershot Town	Bentford	Free
23 July 2009	DF	Rhys Day	Aldershot Town	Oxford United	Free
24 July 2009	FW	Rob Elvins	Aldershot Town	Worcester City	Free
28 July 2009	MF	John Halls	Brentford	Aldershot Town	Free
24 July 2009	DF	Ben Herd	Shrewsbury Town	Aldershot Town	Free
28 July 2009	DF	Adam Hinshelwood	Brighton and Hove Albion	Aldershot Town	Free
23 July 2009	GK	Clark Masters	Southend United	Aldershot Town	Free
30 June 2009	FW	Junior Mendes	Aldershot Town	Unattached	Free
30 June 2009	MF	Ricky Newman	Aldershot Town	Retired	Free
