Week	Date	Opponent	Result	Attendance
1	September 25, 1960	at Philadelphia Eagles	W 41–24	56,303
2	October 2, 1960	Pittsburgh Steelers	W 28–20	67,692
3	Bye	Bye	Bye	Bye
4	October 16, 1960	at Dallas Cowboys	W 48–7	28,500
5	October 23, 1960	Philadelphia Eagles	L 31–29	64,850
6	October 30, 1960	at Washington Redskins	W 31–10	32,086
7	November 6, 1960	New York Giants	L 17–13	82,872
8	November 13, 1960	St. Louis Cardinals	W 28–27	49,192
9	November 20, 1960	at Pittsburgh Steelers	L 14–10	35,215
10	November 27, 1960	at St. Louis Cardinals	T 17–17	26,146
11	December 4, 1960	Washington Redskins	W 27–16	35,211
12	December 11, 1960	Chicago Bears	W 42–0	38,155
13	December 18, 1960	at New York Giants	W 48–34	56,517
