Tie no	Home team	Score	Away team	Attendance
1	Ashford Town	2–2	Dagenham & Redbridge	16 November 1996
Replay	Dagenham & Redbridge	1–1	Ashford Town	25 November 1996
Ashford Town won 4–3 on penalties	Ashford Town won 4–3 on penalties	Ashford Town won 4–3 on penalties	Ashford Town won 4–3 on penalties	Ashford Town won 4–3 on penalties
2	Blackpool	1–0	Wigan Athletic	16 November 1996
3	Chester City	3–0	Stalybridge Celtic	16 November 1996
4	Chesterfield	1–0	Bury	16 November 1996
5	Burnley	2–1	Lincoln City	16 November 1996
6	Preston North End	4–1	Altrincham	16 November 1996
7	Wisbech Town	1–2	St Albans City	16 November 1996
8	Woking	2–2	Millwall	15 November 1996
Replay	Millwall	0–1	Woking	26 November 1996
9	Gillingham	1–0	Hereford United	16 November 1996
10	Boreham Wood	1–1	Rushden & Diamonds	16 November 1996
Replay	Rushden & Diamonds	2–3	Boreham Wood	26 November 1996
11	Northwich Victoria	2–2	Walsall	16 November 1996
Replay	Walsall	3–1	Northwich Victoria	26 November 1996
12	Macclesfield Town	0–2	Rochdale	16 November 1996
13	Crewe Alexandra	4–1	Kidderminster Harriers	16 November 1996
14	Shrewsbury Town	1–1	Scarborough	16 November 1996
Replay	Scarborough	1–0	Shrewsbury Town	26 November 1996
15	Wrexham	1–1	Colwyn Bay	16 November 1996
Replay	Wrexham	2–0	Colwyn Bay	26 November 1996
16	Hednesford Town	2–1	Southport	16 November 1996
17	Stockport County	2–1	Doncaster Rovers	16 November 1996
18	Brentford	2–0	Bournemouth	16 November 1996
19	Bristol Rovers	1–2	Exeter City	16 November 1996
20	Northampton Town	0–1	Watford	17 November 1996
21	Bromley	1–3	Enfield	16 November 1996
22	Plymouth Argyle	5–0	Fulham	16 November 1996
23	Carlisle United	6–0	Shepshed Dynamo	16 November 1996
24	Scunthorpe United	4–1	Rotherham United	16 November 1996
25	Mansfield Town	4–0	Consett	16 November 1996
26	Cardiff City	2–0	Hendon	16 November 1996
27	Runcorn	1–4	Darlington	16 November 1996
28	Torquay United	0–1	Luton Town	16 November 1996
29	Boston United	3–0	Morecambe	16 November 1996
30	Peterborough United	0–0	Cheltenham Town	16 November 1996
Replay	Cheltenham Town	1–3	Peterborough United	27 November 1996
31	Colchester United	1–2	Wycombe Wanderers	16 November 1996
32	Leyton Orient	2–1	Merthyr Tydfil	16 November 1996
33	Sudbury Town	0–0	Brighton & Hove Albion	16 November 1996
Replay	Brighton & Hove Albion	1–1	Sudbury Town	26 November 1996
Sudbury Town won 4–3 on penalties	Sudbury Town won 4–3 on penalties	Sudbury Town won 4–3 on penalties	Sudbury Town won 4–3 on penalties	Sudbury Town won 4–3 on penalties
34	Whitby Town	0–0	Hull City	17 November 1996
Replay	Hull City	8–4	Whitby Town	26 November 1996
35	Cambridge United	3–0	Welling United	16 November 1996
36	Swansea City	1–1	Bristol City	16 November 1996
Replay	Bristol City	1–0	Swansea City	26 November 1996
37	Farnborough Town	2–2	Barnet	16 November 1996
Replay	Barnet	1–0	Farnborough Town	26 November 1996
38	Hartlepool United	0–0	York City	16 November 1996
Replay	York City	3–0	Hartlepool United	26 November 1996
39	Stevenage Borough	2–2	Hayes	16 November 1996
Replay	Hayes	0–2	Stevenage Borough	26 November 1996
40	Newcastle Town	0–2	Notts County	17 November 1996
