Rnd	Date	Race Name	Track	Location	Pole position	Fastest lap	Most Laps Led	Winner
1	March 26	Toyota Indy 300	Homestead-Miami Speedway	Homestead, Florida	Sam Hornish, Jr.	Scott Dixon	Sam Hornish, Jr.	Dan Wheldon
2	April 2	Honda Grand Prix of St. Petersburg	Streets of St. Petersburg	St. Petersburg, Florida	Dario Franchitti	Tony Kanaan	Hélio Castroneves	Hélio Castroneves
3	April 22	Indy Japan 300	Twin Ring Motegi	Motegi , Japan	Hélio Castroneves	Scott Dixon	Hélio Castroneves	Hélio Castroneves
4	May 28	90th Indianapolis 500	Indianapolis Motor Speedway	Speedway, Indiana	Sam Hornish, Jr.	Scott Dixon	Dan Wheldon	Sam Hornish, Jr.
5	June 4	Watkins Glen Indy Grand Prix presented by Tissot	Watkins Glen International	Watkins Glen, New York	Hélio Castroneves	Marco Andretti	Dan Wheldon	Scott Dixon
6	June 10	Bombardier Learjet 500	Texas Motor Speedway	Fort Worth, Texas	Sam Hornish, Jr.	Dan Wheldon	Dan Wheldon	Hélio Castroneves
7	June 24	SunTrust Indy Challenge	Richmond International Raceway	Richmond, Virginia	Hélio Castroneves	Hélio Castroneves	Sam Hornish, Jr.	Sam Hornish, Jr.
8	July 2	Kansas Lottery Indy 300	Kansas Speedway	Kansas City, Kansas	Dan Wheldon	Hélio Castroneves	Sam Hornish, Jr.	Sam Hornish, Jr.
9	July 15	Firestone Indy 200	Nashville Superspeedway	Lebanon, Tennessee	Dan Wheldon	Dan Wheldon	Dan Wheldon	Scott Dixon
10	July 23	ABC Supply Company A.J. Foyt 225	The Milwaukee Mile	West Allis, Wisconsin	Hélio Castroneves	Tomas Scheckter	Tony Kanaan	Tony Kanaan
11	July 30	Firestone Indy 400	Michigan International Speedway	Brooklyn, Michigan	Hélio Castroneves	Kosuke Matsuura	Vitor Meira	Hélio Castroneves
12	August 13	Meijer Indy 300 presented by Coca-Cola and Secret	Kentucky Speedway	Sparta, Kentucky	Hélio Castroneves	Bryan Herta	Dan Wheldon	Sam Hornish, Jr.
13	August 27	Indy Grand Prix of Sonoma	Infineon Raceway	Sonoma, California	Scott Dixon	Tony Kanaan	Scott Dixon	Marco Andretti
