Country	Human development (2012) HDI	GDP (PPP) (2012) US$ per capita	Real GDP growth (2011) %	Income inequality (2011) Gini	Poverty (2009) HPI-1 %	Extreme poverty (2011) <1.25 US$ %	Literacy (2010) %	Life expectancy (2011) Years	Murder (2012) Rate per 100,000	Peace (2012) GPI
Argentina	0.811	18,709	8.9	45.8	3.7	0.9	98	76	0 3.4	1.763
Bolivia	0.675	5,330	5.1	57.3	11.6	14.0	91	67	0 8.9	2.021
Brazil	0.730	12,340	2.7	53.9	8.6	3.8	90	74	21.0	2.017
Chile	0.819	19,474	5.9	52.1	3.2	0.8	99	79	0 3.2	1.616
Colombia	0.719	11,284	5.9	53.9	7.6	8.2	93	74	31	2.625
Costa Rica	0.773	13,205	4.2	50.3	3.7	0.7	96	79	11.3	1.659
Cuba	0.780	N/A	N/A	N/A	4.6	N/A	100	79	0 5.0	1.951
Dominican Republic	0.702	9,845	4.5	48.4	9.1	4.3	90	73	25.0	2.068
Ecuador	0.724	10,517	7.8	49.0	7.9	5.1	92	76	15.2	2.028
El Salvador	0.680	7,648	1.4	46.9	14.6	5.1	84	72	69.2	2.220
Guatemala	0.581	5,335	3.8	53.7	19.7	16.9	75	71	38.5	2.287
Haiti	0.456	1,358	5.6	59.5	31.5	54.9	49	62	0 6.9	2.179
Honduras	0.632	4,741	3.6	57.7	13.7	23.3	85	73	91.6	2.339
Mexico	0.775	15,931	4.0	51.7	5.9	3.4	93	77	22.7	2.445
Nicaragua	0.599	4,641	4.7	52.3	17.0	15.8	78	74	13.6	2.006
Panama	0.780	16,993	10.6	52.3	6.7	9.5	94	76	21.6	1.899
Paraguay	0.669	6,787	3.8	52.0	10.5	5.1	94	73	11.5	1.973
Peru	0.741	11,403	6.9	48.0	10.2	5.9	90	74	10.3	1.995
Uruguay	0.792	16,728	5.7	42.4	3.0	0.0	99	77	0 5.9	1.628
Venezuela	0.748	13,633	4.2	43.5	6.6	3.5	96	74	45.1	2.278
