Tie no	Home team	Score	Away team	Date
1	Chester	1–0	Barnsley	18 December 1979
2	Croydon	1–1	Millwall	15 December 1979
Replay	Millwall	3–2	Croydon	18 December 1979
3	Darlington	0–1	Bradford City	15 December 1979
4	Bury	0–0	York City	15 December 1979
Replay	York City	0–2	Bury	18 December 1979
5	Yeovil Town	1–0	Slough Town	15 December 1979
6	Reading	3–1	Barking	15 December 1979
7	Walsall	1–1	Halifax Town	15 December 1979
Replay	Halifax Town	1–1	Walsall	18 December 1979
Replay	Halifax Town	2–0	Walsall	24 December 1979
8	Blackburn Rovers	2–0	Stafford Rangers	17 December 1979
9	Grimsby Town	2–0	Sheffield United	15 December 1979
10	Northwich Victoria	2–2	Wigan Athletic	5 January 1980
Replay	Wigan Athletic	1–0	Northwich Victoria	7 January 1980
11	Doncaster Rovers	1–2	Mansfield Town	15 December 1979
12	Tranmere Rovers	2–2	Rochdale	15 December 1979
Replay	Rochdale	2–1	Tranmere Rovers	18 December 1979
13	Carlisle United	3–0	Sheffield Wednesday	15 December 1979
14	Wimbledon	0–0	Portsmouth	18 December 1979
Replay	Portsmouth	3–3	Wimbledon	24 December 1979
Replay	Wimbledon	0–1	Portsmouth	5 January 1980
15	Southend United	1–1	Harlow Town	15 December 1979
Replay	Harlow Town	1–0	Southend United	18 December 1979
16	Chesham United	1–1	Merthyr Tydfil	19 December 1979
Replay	Merthyr Tydfil	1–3	Chesham United	22 December 1979
17	Torquay United	3–3	Swindon Town	18 December 1979
Replay	Swindon Town	3–2	Torquay United	22 December 1979
18	Hereford United	1–2	Aldershot	15 December 1979
19	Rotherham United	0–2	Altrincham	15 December 1979
20	Colchester United	1–0	Bournemouth	15 December 1979
