Date	Tournament	Surface	Opponent	Score
23 October 2000	Negril	Clay	Johan Ortegren	6–3, 6–1
16 June 2001	Spišská Nová Ves	Clay	Juraj Hasko	6–4, 6–7 (2–7) , 7–5
10 June 2002	Sopot	Clay	Mariusz Fyrstenberg	6–3, 1–6, 6–2
15 July 2002	Nové Zámky	Clay	Ladislav Švarc	6–1, 6–2
12 August 2002	Poprad	Clay	David Novak	6–1, 6–4
6 January 2003	Cala Ratjada	Clay	Mariano Albert-Ferrando	4–2, RET
23 May 2005	Jablonec nad Nisou	Clay	Tomas Jecminek	6–4, 6–2
31 October 2005	Frýdlant nad Ostravicí	Indoor Hard	Lukáš Lacko	1–6, 7–5, 6–4
23 March 2006	Barletta	Clay	Stefano Galvani	6–2, 6–1
5 June 2006	Prostějov	Clay	Dominik Hrbatý	6–3, 5–7, 6–2
19 June 2006	Braunschweig	Clay	Fernando Vicente	6–1, 6–3
10 July 2006	Poznań	Clay	Ilija Bozoljac	6–4, 6–3
29 September 2008	Porto	Clay	Dušan Lojda	6–0, 7–6 (7–2)
27 April 2009	Ostrava	Clay	Ivan Dodig	7–5, 6–1
1 June 2009	Prostějov	Clay	Steve Darcis	6–2, 1–6, 6–4
31 October 2009	Freudenstadt	Clay	Laurent Recouderc	2–6, 6–3, 7–6 (7–5)
31 May 2010	Prostějov	Clay	Radek Štěpánek	6–0 RET
1 July 2012	Marburg	Clay	Andreas Haider-Maurer	6–2, 6–2
