Round	Pick	Player	Position	School/Club Team
1	9	Stanley Richard	Defensive back	Texas
2	36	George Thornton	Defensive tackle	Alabama
2	39	Eric Bieniemy	Running back	Colorado
2	47	Eric Moten	Guard	Michigan State
4	90	Yancey Thigpen	Wide receiver	Winston-Salem State
5	123	Duane Young	Tight end	Michigan State
5	127	Floyd Fields	Defensive back	Arizona State
6	150	Jimmy Laister	Offensive tackle	Oregon Tech
7	177	David Jones	Tight end	Delaware State
7	192	Terry Beauford	Guard	Florida A&M
9	230	Andy Katoa	Linebacker	Southern Oregon
10	254	Ronald Poles	Running back	Tennessee
10	257	Mike Heldt	Center	Tennessee
11	290	Joachim Weinberg	Wide receiver	Johnson C. Smith U.
12	317	Chris Samuels	Running back	Texas
