City	Country	IATA	ICAO	Airport
Ampara	Sri Lanka	GOY	VCCG	Ampara Airport
Anuradhapura	Sri Lanka	ACJ	VCCA	Anuradhapura Airport
Batticaloa	Sri Lanka	BTC	VCCB	Batticaloa Airport
Colombo	Sri Lanka	RML	VCCC	Ratmalana Airport [H]
Hambantota	Sri Lanka	HRI	VCRI	Mattala Rajapaksa International Airport ‡
Jaffna	Sri Lanka	JAF	VCCJ	Jaffna Airport
Killinochchi	Sri Lanka	TBA	TBA	Iranamadu Airport
Malé [begins IN 2013]	Maldives	MLE	VRMM	Ibrahim Nasir International Airport [T]
Trincomalee	Sri Lanka	TRR	VCCT	China Bay Airport
Vavuniya	Sri Lanka	TBA	VCCV	Vavuniya Airport
Hambantota	Sri Lanka	WRZ	VCCW	Weerawila Airport
Koggala	Sri Lanka	KCT	VCCK	Koggala Airport
