Pick #	Player	Position	Nationality	NHL team	College/junior/club team
189	Steve Hurt	Right Wing	United States	Pittsburgh Penguins	Hill-Murray High School (USHS-MN)
190	Mike Peluso	Defence	United States	New Jersey Devils	Greenway High School (USHS-MN)
191	Jeff Crossman	Centre	Canada	Los Angeles Kings	Western Michigan University (CCHA)
192	David Buckley	Defence	United States	Toronto Maple Leafs	Trinity-Pawling School (USHS-NY)
193	Brent Regan	Left Wing	Canada	Hartford Whalers	St. Albert Saints ( AJHL )
194	Joakim Persson	Left Wing	Sweden	Chicago Black Hawks	Brynäs IF (Sweden)
195	Jay Rose	Defence	United States	Detroit Red Wings	New Preparatory School (USHS-MA)
196	Tom Tilley	Defence	Canada	St. Louis Blues	Orillia Travelways (OPJHL)
197	Rick Forest	Left Wing	Canada	Winnipeg Jets	Melville Millionaires (SJHL)
198	Ed Lowney	Right Wing	United States	Vancouver Canucks	Boston University (ECAC)
199	Ron Annear	Defence	Canada	Montreal Canadiens	American International College (Atlantic Hockey)
200	Petr Rucka	Centre	Czechoslovakia	Calgary Flames	HC Sparta Praha (Czechoslovakia)
201	Michael Orn	Centre	United States	Minnesota North Stars	Stillwater High School (USHS-MN)
202	Kevin Miller	Centre	United States	New York Rangers	Redford Royals (NAHL)
203	Ken Quinney	Right Wing	Canada	Quebec Nordiques	Calgary Wranglers (WHL)
204	Daryn Fersovich	Centre	Canada	Philadelphia Flyers	St. Albert Saints (AJHL)
205	Paul Cavallini	Defence	Canada	Washington Capitals	Henry Carr Crusaders (MetJHL)
206	Brian McKinnon	Centre	Canada	Buffalo Sabres	Ottawa 67's (OHL)
207	J. D. Urbanic	Left Wing	Canada	Boston Bruins	Windsor Spitfires (OHL)
208	David Volek	Right Wing	Czechoslovakia	New York Islanders	HC Slavia Praha (Czechoslovakia)
209	Joel Curtis	Left Wing	Canada	Edmonton Oilers	Oshawa Generals (OHL)
