Place	Rider	Country	Machine	Speed	Time	Points
1	Phil Read	United Kingdom	Yamaha	99.68mph	1:30.51.2	15
2	Rod Gould	United Kingdom	Yamaha	98.09mph	1:32.19.6	12
3	John Williams	United Kingdom	Yamaha	97.09mph	1:33.16.4	10
4	Charlie Williams	United Kingdom	Yamaha	95.98mph	1:34.24.1	8
5	Werner Pfirter	Switzerland	Yamaha	95.93mph	1:34.24.2	6
6	Bill Henderson	United Kingdom	Yamaha	95.26mph	1:35.04.4	5
7	Derek Chatterton	United Kingdom	Yamaha	95.13mph	1:35.12.20	4
8	Dudley P.Robinson	United Kingdom	Yamaha	94.88mph	1:35.27.4	3
9	Barry Randle	United Kingdom	Yamaha	94.84mph	1:35.29.8	2
10	B.Rae	United Kingdom	Yamaha	92.86mph	1:37.31.8	1
