City of license /Market	Station	Channel ( TV / RF )	Owned Since	Affiliation
Phoenix	KNXV-TV	15 (15)	1985	ABC
Bakersfield, California	KERO-TV	23 (10)	2011	ABC
Bakersfield, California	KZKC-LP	42	2011	Azteca América
San Diego	KGTV	10 (10)	2011	ABC
San Diego	KZSD-LP	41	2011	Azteca América
Colorado Springs, Colorado	KZKS-LP	23	2011	Azteca América
Denver	KMGH-TV	7 (7)	2011	ABC
Denver	KZCO-LP	27	2011	Azteca América
Fort Collins, Colorado	KZFC-LP	36	2011	Azteca América
Tampa – St. Petersburg	WFTS-TV	28 (29)	1986	ABC
West Palm Beach	WPTV	5 (12)	1961	NBC
Indianapolis	WRTV	6 (25)	2011	ABC
Baltimore	WMAR-TV	2 (38)	1991	ABC
Detroit	WXYZ-TV	7 (41)	1986	ABC
Kansas City, MO – Lawrence, KS	KSHB-TV	41 (42)	1977	NBC
Cincinnati	WCPO-TV **	9 (22)	1949	ABC
Cleveland – Akron – Canton	WEWS **	5 (15)	1947	ABC
