Rider	Bike	Laps	Time	Grid
Troy Bayliss	Ducati 1098 F08	22	36:46.238	1
Noriyuki Haga	Yamaha YZF-R1	22	+0.082	2
Carlos Checa	Honda CBR1000RR	22	+6.336	6
Ruben Xaus	Ducati 1098 RS 08	22	+7.575	3
Max Neukirchner	Suzuki GSX-R1000	22	+8.011	5
Yukio Kagayama	Suzuki GSX-R1000	22	+13.999	7
Gregorio Lavilla	Honda CBR1000RR	22	+15.215	15
Jakub Smrz	Ducati 1098 RS 08	22	+16.376	8
Makoto Tamada	Kawasaki ZX-10R	22	+17.269	10
Troy Corser	Yamaha YZF-R1	22	+18.380	4
Fonsi Nieto	Suzuki GSX-R1000	22	+18.926	9
Max Biaggi	Ducati 1098 RS 08	22	+21.452	18
Karl Muggeridge	Honda CBR1000RR	22	+23.794	19
Roberto Rolfo	Honda CBR1000RR	22	+29.847	22
Shinichi Nakatomi	Yamaha YZF-R1	22	+30.252	17
Régis Laconi	Kawasaki ZX-10R	22	+31.249	11
Sébastien Gimbert	Yamaha YZF-R1	22	+31.328	23
Ayrton Badovini	Kawasaki ZX-10R	22	+39.814	20
Kenan Sofuoğlu	Honda CBR1000RR	22	+49.956	21
Russell Holland	Honda CBR1000RR	22	+51.554	24
Shuhei Aoyama	Honda CBR1000RR	22	+51.642	26
Loic Napoleone	Yamaha YZF-R1	22	+1:02.682	29
Arie Vos	Ducati 1098 RS 08	22	+1:02.729	25
Michel Fabrizio	Ducati 1098 F08	10	Retirement	12
Ryuichi Kiyonari	Honda CBR1000RR	8	Retirement	13
Luca Morelli	Honda CBR1000RR	4	Retirement	27
