Title	Series	Director	Production Num.	Release date
Plane Dippy	LT	Tex Avery	7139	1936-01-04
I Wanna Play House	MM	Friz Freleng	7131	1936-01-11
Alpine Antics	LT	Jack King	7130	1936-01-25
The Cat Came Back	MM	Friz Freleng	7138, BR 1361	1936-02-08
The Phantom Ship	LT	Jack King	7189	1936-02-24
Boom Boom	LT	Jack King	7191	1936-02-29
The Fire Alarm	LT	Jack King	7000	1936-03-09
I'm a Big Shot Now	MM	Friz Freleng	7190	1936-04-11
The Blow Out	LT	Tex Avery	7262	1936-04-24
Westward Whoa	LT	Jack King	7243	1936-04-25
Let It Be Me	MM	Friz Freleng	7260	1936-05-09
Fish Tales	LT	Jack King	7285	1936-05-23
I'd Love to Take Orders From You	MM	Tex Avery	7361	1936-05-25
Bingo Crosbyana	MM	Friz Freleng	7264	1936-05-30
Page Miss Glory	MM	Tex Avery (uncredited)	7192	1936-06-09
Shanghaied Shipmates	LT	Jack King	7362	1936-06-20
When I Yoo Hoo	MM	Friz Freleng	7360	1936-06-27
Porky's Pet	LT	Jack King	7382	1936-07-11
I Love to Singa	MM	Tex Avery	7383	1936-07-18
Porky the Rain-Maker	LT	Tex Avery	7484	1936-08-01
Sunday Go to Meetin' Time	MM	Friz Freleng	7386	1936-08-08
Porky's Poultry Plant	LT	Frank Tashlin	7569	1936-08-22
At Your Service Madame	MM	Friz Freleng	7485	1936-08-29
Porky's Moving Day	LT	Jack King	7483	1936-09-12
Toy Town Hall	MM	Friz Freleng	7567	1936-09-19
Boulevardier from the Bronx	MM	Friz Freleng	7570	1936-10-10
Little Beau Porky	LT	Frank Tashlin	7595	1936-10-14
The Coo-Coo Nut Grove	MM	Friz Freleng	7603	1936-11-28
The Village Smithy	LT	Tex Avery	7602	1936-12-05
Porky in the North Woods	LT	Frank Tashlin	7637	1936-12-19
Milk and Money	LT	Tex Avery	7566	1936-12-28
Don't Look Now	MM	Tex Avery	7568	1936-12-30
