Missouri vs.	Overall Record	at Columbia	at Opponent's Venue	at Neutral Site	Last 5 Meetings	Last 10 Meetings	Current Streak
Colorado	MU, 99-53	MU, 57-11	CU, 34-30	MU, 12-8	MU, 4-1	MU, 9-1	W 1
Creighton	MU, 9-7	MU, 3-2	Tied, 4-4	MU, 2-1	MU, 3-2	CU, 6-4	L 1
Drake	MU, 27-7	MU, 17-3	MU, 10-4	Tied, 0-0	MU, 4-1	MU, 8-2	W 4
Illinois	UI, 27-16	UI, 3-2	UI, 4-1	UI, 20-13	MU, 4-1	UI, 6-4	W 4
Indiana	Tied, 9-9	MU, 5-3	IU, 6-3	MU, 1-0	MU, 4-1	Tied, 5-5	W 3
Iowa	UI, 10-7	MU, 4-2	UI, 7-2	Tied, 1-1	MU, 3-2	Tied, 5-5	W 2
Nebraska	MU, 126-93	MU, 70-25	NU, 56-42	MU, 14-12	MU, 3-2	Tied, 5-5	L 1
Saint Louis	MU, 21-19	SLU, 12-10	MU, 11-7	Tied, 0-0	MU, 3-2	Tied, 5-5	W 2
Washington U. of StL	MU, 71-29	MU, 42-8	MU, 29-21	Tied, 0-0	MU, 5-0	MU, 8-2	W 7
*As of December 26, 2012	*As of December 26, 2012	*As of December 26, 2012	*As of December 26, 2012	*As of December 26, 2012	*As of December 26, 2012	*As of December 26, 2012	*As of December 26, 2012
