Series #	Title	Directed by	Written by	U.S. viewers (million)	Original airdate	Production Code
1	" Premiere "	Doug Liman	Josh Schwartz	7.5	August5,2003	475197
2	"The Model Home"	Doug Liman	Allan Heinberg & Josh Schwartz	7.9	August12,2003	176501
3	"The Gamble"	Ian Toynton	Jane Espenson	8.0	August19,2003	176502
4	"The Debut"	Daniel Attias	Allan Heinberg & Josh Schwartz	8.6	August26,2003	176503
5	"The Outsider"	Jesús Salvador Treviño	Melissa Rosenberg	9.1	September2,2003	176504
6	"The Girlfriend"	Steve Robman	Josh Schwartz & Debra J. Fisher	9.1	September9,2003	176505
7	"The Escape"	Sanford Bookstaver	Josh Schwartz	8.8	September16,2003	176506
8	"The Rescue"	Michael Lange	Melissa Rosenberg & Allan Heinberg	9.27	October29,2003	176507
9	"The Heights"	Patrick Norris	Debra J. Fisher & Erica Messer	7.52	November5,2003	176508
10	"The Perfect Couple"	Michael Fresco	Allan Heinberg	8.28	November12,2003	176509
11	"The Homecoming"	Keith Samples	Josh Schwartz & Brian Oh	9.03	November19,2003	176510
12	"The Secret"	James Marshall	Allan Heinberg & Josh Schwartz	6.9	November26,2003	176511
13	"The Best Chrismukkah Ever"	Sanford Bookstaver	Stephanie Savage	9.27	December3,2003	176512
14	"The Countdown"	Michael Fresco	Josh Schwartz	7.99	December17,2003	176513
15	"The Third Wheel"	Sandy Smolan	Melissa Rosenberg	9.4	January7,2004	176514
16	"The Links"	Michael Lange	Debra J. Fisher & Erica Messer	8.9	January14,2004	176515
17	"The Rivals"	Ian Toynton	Josh Schwartz	12.72	January21,2004	176516
18	"The Truth"	Rodman Flender	Allan Heinberg	12.70	February11,2004	176517
19	"The Heartbreak"	Lev L. Spiro	Josh Schwartz	10.95	February18,2004	176518
20	"The Telenovela"	Sanford Bookstaver	Stephanie Savage	9.56	February25,2004	176519
21	"The Goodbye Girl"	Patrick Norris	Josh Schwartz	10.27	March3,2004	176520
22	"The L.A."	David M. Barrett	Josh Schwartz	11.09	March24,2004	176521
23	"The Nana"	Michael Lange	Allan Heinberg	11.37	March31,2004	176522
24	"The Proposal"	Helen Shaver	Liz Friedman & Josh Schwartz	10.49	April14,2004	176523
25	"The Shower"	Sandy Smolan	J. J. Philbin	10.13	April21,2004	176524
26	"The Strip"	James Marshall	Allan Heinberg	10.52	April28,2004	176525
