Event	Individual	Sprint	Pursuit	Mass Start	Relay
1995 Antholz	1st	29th	—	—	7th
1996 Ruhpolding	6th	15th	—	—	7th
1997 Brezno-Osrblie	28th	17th	21st	—	6th
1998 Pokljuka	—	—	14th	—	—
1999 Kontiolahti	14th	59th	—	—	14th
2000 Oslo	32nd	21st	47th	18th	11th
2001 Pokljuka	18th	15th	16th	20th	6th
2002 Oslo	—	—	—	25th	—
2003 Khanty-Mansiysk	9th	11th	7th	14th	—
2004 Oberhof	2nd	11th	7th	14th	—
2005 Hochfilzen	—	9th	10th	5th	10th
2005 Khanty-Mansiysk	—	—	—	—	—
2006 Pokljuka	—	—	—	—	—
2007 Antholz	21st	5th	7th	21st	13th
2008 Östersund	30th	11th	11th	19th	—
2009 Pyeongchang	9th	16th	4th	6th	13th
2010 Khanty-Mansiysk	—	—	—	—	—
