Year ended	Revenue (S$m)	Expenditure (S$m)	Operating profit (S$m)	Profit before taxation (S$m)	Profit attributable to equity holders (S$m)	EPS after tax – diluted (cents)
31 March 1999	7,795.9	6,941.5	854.4	1,116.8	1,033.2	80.6
31 March 2000	9,018.8	7,850.0	1,168.8	1,463.9	1,163.8	91.4
31 March 2001	9,951.3	8,604.6	1,346.7	1,904.7	1,549.3	126.5
31 March 2002	9,382.8	8,458.2	924.6	925.6	631.7	51.9
31 March 2003	10,515.0	9,797.9	717.1	976.8	1,064.8	87.4
31 March 2004	9,761.9	9,081.5	680.4	820.9	849.3	69.7
31 March 2005	12,012.9	10,657.4	1,355.5	1,829.4	1,389.3	113.9
31 March 2006	13,341.1	12,127.8	1,213.3	1,662.1	1,240.7	101.3
31 March 2007	14,494.4	13,180.0	1,314.4	2,284.6	2,128.8	170.8
31 March 2008	15,972.5	13,848.0	2,124.5	2,547.2	2,049.4	166.1
31 March 2009	15,996.3	15,092.7	903.6	1,198.6	1,061.5	89.1
31 March 2010	12,707.3	12,644.1	63.2	285.5	215.8	18.0
31 March 2011	14,524.8	13,253.5	1,271.3	1,419.0	1,092.0	90.2
