Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Hércules CF	30	39	16	7	7	44	24	+20
2	Granada CF	30	37	16	5	9	40	29	+11
3	Algeciras CF	30	35	14	7	9	42	29	+13
4	Real Valladolid	30	35	13	9	8	49	32	+17
5	Levante UD	30	34	13	8	9	42	22	+20
6	CD Mestalla	30	33	10	13	7	45	44	+1
7	CF Calvo Sotelo	30	32	13	6	11	33	36	-3
8	CD Tenerife	30	32	13	6	11	40	34	+6
9	Rayo Vallecano	30	31	12	7	11	37	26	+11
10	Real Murcia	30	29	12	5	13	31	37	-6
11	Recreativo de Huelva	30	29	11	7	12	31	30	+1
12	Cádiz CF	30	27	10	7	13	25	28	-3
13	CD Constancia	30	26	10	6	14	34	49	-15
14	Atlético Ceuta	30	25	11	3	16	35	47	-12
15	Melilla CF	30	20	7	6	17	26	51	-25
16	CD Badajoz	30	16	4	8	18	22	58	-36
