School	Location	Mascot	Enrollment	IHSAA Class	# / County	Year Joined
Austin *	Austin	Eagles	437	AA	72 Scott	1958
Brownstown Central	Brownstown	Braves	611	AAA	36 Jackson	1965
Charlestown	Charlestown	Pirates	702	AAA	10 Clark	1958
Clarksville	Clarksville	Generals	530	AA	10 Clark	1958
Corydon Central	Corydon	Panthers	819	AAA	31 Harrison	1958
Eastern (Pekin)	New Pekin	Musketeers	552	AA	88 Washington	2003
North Harrison	Ramsey	Cougars	702	AAA	31 Harrison	1978
Salem	Salem	Lions	656	AAA	88 Washington	1958
Scottsburg	Scottsburg	Warriors	865	AAA	72 Scott	1958
Silver Creek	Sellersburg	Dragons	644	AAA	10 Clark	1958
