Player	Matches	Inns	N/O	Runs	High Score	Average	100	50	Catches	Stump
H J H Marshall	11	21	1	1218	168	60.9	5	7	6	0
I J Harvey	9	15	5	561	114	56.1	2	2	4	0
A P R Gidman	16	31	6	1244	120	49.76	4	7	2	0
C M Spearman	16	31	0	1370	192	44.19	6	2	18	0
Kadeer Ali	11	22	1	834	145	39.71	1	5	6	0
W P C Weston	13	24	1	911	130	39.6	2	6	7	0
M A Hardinges	11	15	2	444	107	34.15	2	1	0	0
S J Adshead	16	28	5	687	79	29.86	0	4	47	2
C G Taylor	14	27	0	705	121	26.11	1	4	12	0
J Lewis	11	14	2	242	57	20.16	0	1	4	0
M G N Windows	5	9	1	127	48	15.87	0	0	2	0
M C J Ball	10	15	1	215	58	15.35	0	1	16	0
