Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	N/H/L Racing	1:42.385	1:41.535	1:41.535
Will Power	Team Australia	1:43.116	1:43.595	1:43.116
Robert Doornbos	Minardi Team USA	1:43.619	1:43.134	1:43.134
Graham Rahal	N/H/L Racing	1:43.732	1:43.162	1:43.162
Bruno Junqueira	Dale Coyne Racing	1:44.326	1:43.201	1:43.201
Alex Tagliani	RSPORTS	1:43.689	1:43.374	1:43.374
Neel Jani	PKV Racing	1:43.417	1:44.296	1:43.417
Dan Clarke	Minardi Team USA	1:43.439	1:43.853	1:43.439
Jan Heylen	Conquest Racing	1:44.295	1:43.523	1:43.523
Justin Wilson	RSPORTS	1:43.525	1:44.050	1:43.525
Tristan Gommendy	PKV Racing	1:44.032	1:43.565	1:43.565
Simon Pagenaud	Team Australia	1:43.637	1:43.581	1:43.581
Ryan Dalziel	Pacific Coast Motorsports	1:43.611	1:43.795	1:43.611
Oriol Servià	Forsythe Racing	1:43.710	no time	1:43.710
Alex Figge	Pacific Coast Motorsports	1:45.432	1:44.027	1:44.027
Paul Tracy	Forsythe Racing	1:44.716	1:47.132	1:44.716
Katherine Legge	Dale Coyne Racing	1:46.901	1:47.271	1:46.901
