Year	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles	A Mixed Doubles	B Mixed Doubles
1997	Chibing Wu	Vivian Tam	Tomasz Malcharek Chibing Wu	Charlotte Ackerman Liz Wilson	Chibing Wu Alison Brown	Not held
1998	Chibing Wu	Tracey Thompson	Andy Chong Kington Hooi	Daphne Chang Ulrike Von Pfaler	Andy Chong Emily Noyes	Not held
1999	Chibing Wu	Melinda Keszthelyi	Evgueni Dremine Alexei Vassiliev	Mai-Quyen Bui Melinda Keszthelyi	Andy Chong Melinda Keszthelyi	Thomas Vinz Chieko Kittaka
2000	Stuart Arthur	Elie Wu	Evgueni Dremine Alexei Vassiliev	Chantale Bergeron Nancy Desaulniers	Alexei Vassiliev Anna Efremova	Jared Tang Jade Wong
2001	Mike Beres	Kara Solmundson	Trisna Gunadi Ben Wu	Janis Tan Elie Wu	Mike Beres Kara Solmundson	Denis Piliptchouk Maneesha Joshi
2002	Chibing Wu	Elie Wu	Tony Gunawan Khan Malaythong	Janis Tan Elie Wu	Andy Chong Szilvia Szombati	Not held
2003	Jimmy Pohan	Joo Hyun Lee	Andy Chong Chibing Wu	Cindy Shi Eti Tantra	Tony Gunawan Eti Tantra	Jiunnzie Teo Alison Brown
2004	Jackaphan Thanateeratam	Lili Zhou	Khan Malaythong Raju Rai	Valerie Loker Valerie St-Jacques	Jackaphan Thanateeratam Lili Zhou	Norman Lee Wallis Yu
2005	Piotr Mazur	Lili Zhou	Pascal Gagnon Tom Lucas-Piche	Valerie St-Jacques Lili Zhou	Andy Chong Szilvia Szombati	Not held
2006	Raju Rai	Lili Zhou	Howard Bach Bob Malaythong	Eva Lee Mesinee Mangkalakiri	Halim Haryanto Angeline De Pauw	Eric You Jennifer Bachner
2007	Mike Beres	Joo Hyun Lee	Halim Haryanto Bob Malaythong	Angeline De Pauw Mona Santoso	Chandra Kowi Mona Santoso	Not held
2008	Holvy De Pauw	Joo Hyun Lee	Howard Bach Bob Malaythong	Joo Hyun Lee Mona Santoso	Chandra Kowi Mona Santoso	Puttravin Ponpetprayoon Kanitsara Ngoensrisuk
2009	Hock Lai Lee	Mona Santoso	Sameera Gunatileka Vincent Nguy	Joo Hyun Lee Mona Santoso	Chandra Kowi Mona Santoso	Nicky Phiansathiankun Chin Go
2010	Quang Minh Nguyen	Bo Rong	Holvy de Pauw Quang Minh Nguyen	Joo Hyun Lee Yun Peng	Holvy de Pauw Yun Peng	Wu-Hsi Li Hui-Jung Fu
