Team	Manager 1	Captain	Kit manufacturer	Shirt sponsor
Arsenal	Arsène Wenger	Tony Adams	Nike	JVC
Aston Villa	John Gregory	Gareth Southgate	Reebok	AST
Barnsley	Danny Wilson	Neil Redfearn	Admiral	Ora
Blackburn Rovers	Roy Hodgson	Tim Sherwood	Asics	CIS
Bolton Wanderers	Colin Todd	Guðni Bergsson	Reebok	Reebok
Chelsea	Gianluca Vialli	Dennis Wise	Umbro	Autoglass
Coventry City	Gordon Strachan	Gary McAllister	Le Coq Sportif	Subaru
Crystal Palace	Ron Noades Ray Lewington (caretakers)	Andy Linighan	adidas	TDK
Derby County	Jim Smith	Igor Štimac	Puma	Puma
Everton	Howard Kendall	Dave Watson	Umbro	One2One
Leeds United	George Graham	David Hopkin	Puma	Packard Bell
Leicester City	Martin O'Neill	Steve Walsh	Fox Leisure	Walkers
Liverpool	Roy Evans	Paul Ince	Reebok	Carlsberg
Manchester United	Alex Ferguson	Roy Keane	Umbro	Sharp
Newcastle United	Kenny Dalglish	Rob Lee	adidas	Newcastle Brown Ale
Sheffield Wednesday	Ron Atkinson (caretaker)	Peter Atherton	Puma	Sanderson
Southampton	Dave Jones	Matt Le Tissier	Pony	Sanderson
Tottenham Hotspur	Christian Gross	Colin Calderwood	Pony	Hewlett-Packard
West Ham United	Harry Redknapp	Steve Lomas	Pony	(no sponsor)
Wimbledon	Joe Kinnear	Robbie Earle	Lotto	Elonex
