Type	Year	Block	Displacement	Mainly For
Mk.I	1959	105/107E	997 cc	Development of A2 and A3 camshaft
Mk.II	1960	105/107E	997cc	Lotus Mk.VII
Mk.III	1960	105/107E	997cc	Formula Junior
Mk.IV	1961	105/107E	1098 cc	Formula Junior
Mk.V	1962	109E	1340 cc	Lotus Mk.VII
Mk.VI	1962	109E	1340 cc	Lotus Mk.VII
Mk.VII	1962	109E	1475 cc	1.5 Litre class
Mk.VIII	1963	116E	1498 cc	Lotus Mk.VII
Mk.IX	1963	116E	1498 cc	1.5 Litre class
Mk.X	1963	116E	1498 cc	Development of Mk.XII and XIII
Mk.XI	1963	109E	1098 cc	Formula Junior
Mk.XII	1963	116E	1594 cc	Lotus 20B , 22 , 23
Mk.XIII	1963	116E	1594 cc	Formula B , Lotus 22 , 23B , 23C
Mk.XIV	1963	116E	1498 cc	Lotus Mk.VII
Mk.XV	1963	116E	1594 cc	Lotus 26R, Lotus Cortina
Mk.XVI	1963	116E	1498 cc	Note
Mk.XVII	1964	109E	1098 cc	Formula Junior
MAE	1965	109E	997 cc	Formula 3
