Model	First Year	Distribution	Engine	Displacement cc	Power hp (kW)
A6	1946	international	I6	1489	65 (48)
A6G	1951	international	I6	1954	100 (74)
A6G54	1954	international	I6	1986	150 (110)
A6G54 ('56)	1956	international	I6	1986	160 (118)
3500 GT Touring	1957	international	I6	3485	220/230 (164/171)
3500 GT Spyder Vignale	1959	international	I6	3485	220/230 (164/171)
5000 GT	1959	international	V8	4941	340 (250)
5000 GT ('61)	1961	international	V8	4941	330 (243)
3500 GTI	1962	international	I6	3485	235 (173)
3500 GTI Spyder	1962	international	I6	3485	235 (173)
Mistral 3500	1963	international	I6	3485	235 (173)
Quattroporte	1963	international	V8	4136	260 (191)
3500 GTI Spyder Frua	1964	international	I6	3485	235 (173)
Mistral 3700	1965	international	I6	3692	245 (180)
Mistral 3700 Spyder	1965	international	I6	3692	245 (180)
Mistral 4000	1965	international	I6	4000	255 (188)
Mistral 4000 Spyder	1965	international	I6	4000	255 (188)
Sebring 3700	1965	international	I6	3692	245 (180)
Sebring 4000	1965	international	I6	4000	255 (188)
Mexico 4200	1966	international	V8	4136	260 (191)
Quattroporte ('66)	1966	international	V8	4719	290 (213)
Ghibli	1967	international	V8	4719	310 (228)
Ghibli Spyder	1969	international	V8	4719	310 (228)
Mexico 4700	1969	international	V8	4719	310 (228)
Ghibli SS	1970	international	V8	4930	335 (246)
Ghibli SS Spyder	1970	international	V8	4930	335 (246)
Indy Europa 4200	1970	international	V8	4136	260 (191)
Indy Europa 4700	1971	international	V8	4719	290 (213)
Khamsin 4700	1972	international	V8	4719	290 (213)
Khamsin 4900	1972	international	V8	4930	320 (235)
Bora 4.7	1973	international	V8	4719	310 (228)
Indy 4900	1973	international	V8	4930	320 (235)
Merak	1973	international	V6	2965	190 (140)
Bora 4.9 (US)	1974	USA only	V8	4930	300 (221)
Quattroporte II	1974	pre-production (6)	V6	2965	190 (140)
Bora 4.9	1975	international	V8	4930	330 (243)
Merak SS	1975	international	V6	2965	220 (162)
Quattroporte II ('75)	1975	Limited serie (7)	V6	3200	200 (147)
4porte (Quattroporte III)	1976	international	V8	4136	255 (188)
Kyalami 4200	1976	international	V8	4136	265/253 (197/188)
Merak 2000 GT	1976	Italy	V6	1999	170/159 (126/118)
Kyalami 4900	1978	international	V8	4930	280 (206)
Khamsin ('79)	1979	international	V8	4930	280 (206)
Merak SS ('79)	1979	international	V6	2965	208 (153)
Quattroporte III ('81)	1981	international	V8	4930	282 (207)
Biturbo	1981	Italy	V6 Biturbo	1995	180 (132)
425	1983	international	V6 Biturbo	2491	200 (147)
Biturbo E	1983	international	V6 Biturbo	2491	185 (136)
Biturbo S	1983	Italy	V6 Biturbo	1995	205 (151)
Biturbo S (2.5)	1984	international	V6 Biturbo	2491	196 (144)
Spyder (Zagato)	1984	Italy	V6 Biturbo	1995	180 (132)
Spyder (2.5)	1984	international	V6 Biturbo	2491	192 (141)
420	1985	Italy	V6 Biturbo	1995	180 (132)
Biturbo (II)	1985	Italy	V6 Biturbo	1995	180 (132)
Biturbo E (II 2.5)	1985	international	V6 Biturbo	2491	185 (136)
Biturbo S (II)	1985	Italy	V6 Biturbo	1995	210 (154)
228 (228i)	1986	international	V6 Biturbo	2790	250 (184)
228 (228i) Kat	1986	international	V6 Biturbo	2790	225 (165)
420i	1986	Italy	V6 Biturbo	1995	190 (140)
420 S	1986	Italy	V6 Biturbo	1995	210 (154)
Biturbo i	1986	Italy	V6 Biturbo	1995	185 (136)
Quattroporte Royale (III)	1986	international	V8	4930	300 (221)
Spyder i	1986	international	V6 Biturbo	1996	185 (136)
