Season	Date	Score	Winner	Venue	Competition round
1966	5 November 1966	3–2	Alianza Lima	Estadio Nacional	Descentralizado
1966	12 February 1967	2–0	Universitario	Estadio Nacional	Descentralizado
1967	10 September 1967	3–2	Universitario	Estadio Nacional	Descentralizado
1967	17 December 1967	3–1	Alianza Lima	Estadio Nacional	Descentralizado
1968	23 June 1968	2–0	Alianza Lima	Estadio Nacional	Descentralizado
1968	26 October 1968	1–3	Alianza Lima	Estadio Nacional	Descentralizado
1969	28 September 1969	2–2	Draw	Estadio Nacional	Descentralizado
1969	17 December 1969	2–2	Draw	Estadio Nacional	Liguilla
1970	28 June 1970	4–2	Universitario	Estadio Nacional	Descentralizado
1970	13 September 1970	2–2	Draw	Estadio Nacional	Descentralizado
1971	8 August 1971	2–1	Alianza Lima	Estadio Nacional	Descentralizado
1971	12 December 1971	1–1	Draw	Estadio Nacional	Descentralizado
1972	1 April 1972	1–2	Universitario	Estadio Nacional	Metropolitano
1972	20 May 1972	1–2	Alianza Lima	Estadio Nacional	Metropolitano
1972	3 September 1972	2–2	Draw	Estadio Nacional	Descentralizado
1972	26 November 1972	2–2	Draw	Estadio Nacional	Descentralizado
1972	31 December 1972	1–3	Universitario	Estadio Nacional	Liguilla
1973	10 June 1973	3–2	Universitario	Estadio Nacional	Decentralizado
1973	14 October 1973	2–1	Alianza Lima	Estadio Nacional	Decentralizado
1973	5 January 1974	2–1	Alianza Lima	Estadio Nacional	Liguilla
1974	15 July 1974	2–0	Universitario	Estadio Nacional	Descentralizado
1974	22 December 1974	0–3	Universitario	Estadio Nacional	Descentralizado
1974	2 March 1975	3–1	Alianza Lima	Estadio Alejandro Villanueva	Descentralizado
1975	9 October 1975	2–1	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1975	15 January 1976	0–1	Alianza Lima	Estadio Nacional	Decentralizado
1975	22 February 1976	0–0	Draw	Estadio Nacional	Liguilla
1976	18 July 1976	1–1	Draw	Estadio Alejandro Villanueva	Decentralizado
1976	31 October 1976	1–0	Universitario	Estadio Nacional	Decentralizado
1977	13 March 1977	1–0	Universitario	Estadio Nacional	Regional Metropolitano
1977	8 May 1977	2–1	Alianza Lima	Estadio Alejandro Villanueva	Regional Metropolitano
1977	24 July 1977	2–2	Draw	Estadio Nacional	Decentralizado
1977	27 October 1977	2–2	Draw	Estadio Alejandro Villanueva	Decentralizado
1977	30 December 1977	6–1	Alianza Lima	Estadio Alejandro Villanueva	Liguilla
1977	22 January 1978	3–4	Alianza Lima	Estadio Nacional	Liguilla
1978	26 August 1978	1–2	Alianza Lima	Estadio Nacional	Decentralizado
1978	3 December 1978	2–1	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1979	27 May 1979	0–1	Alianza Lima	Estadio Nacional	Decentralizado
1979	9 September 1979	1–0	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1979	2 December 1979	1–1	Draw	Estadio Alejandro Villanueva	Liguilla
1979	12 January 1980	1–1	Draw	Estadio Nacional	Liguilla
1980	6 July 1980	2–2	Draw	Estadio Alejandro Villanueva	Decentralizado
1980	25 October 1980	1–1	Draw	Estadio Nacional	Decentralizado
1981	23 March 1981	0–1	Alianza Lima	Estadio Nacional	Regional Metropolitano
1981	26 April 1981	3–1	Alianza Lima	Estadio Alejandro Villanueva	Regional Metropolitano
1981	11 July 1981	1–2	Alianza Lima	Estadio Nacional	Decentralizado
1981	21 November 1981	2–1	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1982	1 August 1982	1–1	Draw	Estadio Alejandro Villanueva	Regional Metropolitano
1982	29 August 1982	0–1	Alianza Lima	Estadio Nacional	Regional Metropolitano
1982	26 September 1982	2–1	Alianza Lima	Estadio Alejandro Villanuvea	Regional Metropolitano
1982	22 October 1982	2–2	Draw	Estadio Nacional	Regional Metropolitano
1982	4 December 1982	1–1	Draw	Estadio Nacional	Semifinals Group B
1982	30 January 1983	2–0	Alianza Lima	Estadio Alejandro Villanueva	Semifinals Group B
1982	9 February 1983	2–1	Universitario	Estadio Nacional	Liguilla
1983	29 June 1983	2–1	Universitario	Estadio Nacional	Decentralizado
1983	1 November 1983	1–2	Universitario	Estadio Alejandro Villanueva	Decentralizado
1984	15 April 1984	0–1	Universitario	Estadio Alejandro Villanueva	Regional Metropolitano
1984	10 June 1984	1–1	Draw	Estadio Nacional	Regional Metropolitano
1984	26 August 1984	2–0	Universitario	Estadio Nacional	Decentralizado
1984	11 November 1984	1–1	Draw	Estadio Alejandro Villanueva	Decentralizado
1985	3 March 1985	1–0	Alianza Lima	Estadio Alejandro Villanueva	Regional Metropolitano
1985	11 May 1985	3–0	Universitario	Estadio Nacional	Regional Metropolitano
1985	8 August 1985	0–0 (7–8 p ) [E ]	Draw	Estadio Alejandro Villanueva	Regional semifinals
1985	8 September 1985	2–0	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1985	22 December 1985	1–0	Universitario	Estadio Nacional	Decentralizado
1985	26 March 1986	3–2	Universitario	Estadio Nacional	Liguilla
