Player	Nat	Pos	L Apps	L G	C Apps	C G	Total Apps	Total G
Rubio	ESP	MF	35	3	5	2	40	5
Urbano	ESP	MF	36	1	3	0	39	1
Txema	ESP	MF	34	1	5	0	39	1
Virgilio	ESP	DF	35	4	3	2	38	6
Jaime	ESP	DF	34	2	4	0	38	2
Gonzalo	ESP	DF	32	1	1	0	33	1
Herrera	ESP	DF	27	1	4	1	31	2
Milinković	BIH	FW	26	6	5	0	31	6
David	ESP	DF	25	0	5	0	30	0
Aguilà	ESP	FW	23	3	6	1	29	4
Tomàs	ESP	DF	22	0	4	0	26	0
Parés	ESP	FW	19	3	6	0	25	3
Andersen	DEN	FW	22	2	0	0	22	2
Javi Pietro	ESP	MF	14	0	5	1	19	1
Pedro Luis	ESP	DF	13	0	5	0	18	0
Matosas	URU	MF	17	2	0	0	17	2
Javi García	ESP	FW	11	0	2	1	13	1
Bartolo	ESP	FW	10	0	2	0	12	0
Acosta	ESP	MF	9	0	0	0	9	0
Palau	ESP	MF	6	0	3	1	9	1
