Tie no	Home team	Score	Away team	Date
1	Liverpool	0–2	Nottingham Forest	16 February 1895
2	Aston Villa	7–1	Newcastle United	16 February 1895
3	Sheffield Wednesday	6–1	Middlesbrough	16 February 1895
4	Bolton Wanderers	1–0	Bury	16 February 1895
5	Wolverhampton Wanderers	2–0	Stoke	16 February 1895
6	Sunderland	2–0	Preston North End	16 February 1895
7	Everton	1–1	Blackburn Rovers	16 February 1895
Replay	Blackburn Rovers	2–3	Everton	20 February 1895
8	Sheffield United	1–1	West Bromwich Albion	16 February 1895
Replay	West Bromwich Albion	2–1	Sheffield United	20 February 1895
