Res.	Record	Opponent	Method	Round	Time	Location
Win	14–8	Kyle Keeney	TKO (leg kick & punches)	1	0:50	Ft. Lauderdale, FL , United States
Win	13–8	Dwayne Lewis	TKO (punches)	2	3:19	Edmonton, Alberta , Canada
Loss	12–8	Ryan Jimmo	Decision (unanimous)	3	5:00	Edmonton, Alberta , Canada
Loss	12–7	Alan Belcher	TKO (punches)	1	3:03	Memphis, Tennessee , United States
Loss	12–6	Nate Marquardt	TKO (knee and punches)	3	3:10	London, England
Win	12–5	Jason MacDonald	Submission (elbows)	1	2:18	Las Vegas, Nevada , United States
Win	11–5	Ryan Jensen	Submission (armbar)	2	2:04	Omaha, Nebraska , United States
Loss	10–5	Goran Reljić	TKO (punches)	2	3:15	Nevada , United States
Win	10–4	Jason Lambert	KO (punch)	2	0:37	Newcastle upon Tyne , England
Win	9–4	Carmelo Marrero	Submission (guillotine choke)	1	3:06	Las Vegas, Nevada , United States
Win	8–4	Seth Petruzelli	Submission (guillotine choke)	2	0:39	Nevada , United States
Win	7–4	Wes Combs	Submission (rear naked choke)	1	3:23	Las Vegas, Nevada , United States
Loss	6–4	Keith Jardine	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win	6–3	Kazuhiro Hamanaka	KO (punches)	1	0:39	Atlantic City, New Jersey , United States
Win	5–3	Mike Delaney	Submission (punches)	1	3:23	Racine, Wisconsin , United States
Loss	4–3	Rory Singer	KO (knee)	2	4:55	Miami, Florida, United States
Win	4–2	Ron Faircloth	Decision (unanimous)	3	5:00	Fort Lauderdale, Florida , United States
Loss	3–2	Ron Faircloth	TKO (corner stoppage)	1	5:00	Fort Lauderdale, Florida , United States
Loss	3–1	Hirotaka Yokoi	TKO (punches)	3	2:26	Fort Lauderdale, Florida , United States
Win	3–0	Jon Fitch	KO (knee)	1	3:38	Fort Lauderdale, Florida , United States
Win	2–0	Ahron Davis	KO (punch)	1	0:22	Marietta, Georgia , United States
Win	1–0	Ray Casias	Submission (armbar)	1	2:59	Evansville, Indiana , United States
