Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Page	Cass	52	35.802	0.022	47.202758	-97.504390	3801760540	01036398
Painted Woods	Burleigh	118	36.323	1.326	47.115568	-100.881204	3801560580	01759343
Palermo	Mountrail	32	33.047	1.162	48.326946	-102.250744	3806160660	01037045
Palmer	Divide	17	35.259	0.623	48.691215	-103.200812	3802360700	01037014
Paradise	Eddy	39	32.983	2.235	47.610726	-98.565277	3802760740	01759410
Paris	Stutsman	23	32.790	3.144	47.131651	-99.153914	3809360780	01036492
Park	Pembina	61	35.909	0.016	48.675832	-97.726149	3806760820	01036719
Parshall	Mountrail	54	35.976	0.046	47.986842	-102.203674	3806160980	01037018
Passport	Ward	46	33.412	3.090	48.333297	-101.862997	3810161060	01036947
Paulson	Towner	30	34.911	1.147	48.586710	-99.168071	3809561140	01759660
Peabody	Bottineau	18	35.600	0.447	48.857266	-100.632237	3800961180	01759289
Peace	Kidder	28	34.019	2.143	46.683942	-99.608740	3804361220	01037059
Peaceful Valley	Slope	19	36.892	0.042	46.587751	-103.235368	3808761260	01037253
Pearl	Golden Valley	8	72.191	0.108	47.247025	-103.881061	3803361340	01759436
Pearl Lake	LaMoure	54	35.271	0.763	46.413375	-98.212381	3804561380	01036896
Pelican	Ramsey	39	25.793	1.000	48.162231	-99.112887	3807161500	01759590
Pembina	Pembina	82	64.478	0.369	48.944133	-97.310196	3806761620	01036735
Perry	Cavalier	45	35.830	0.206	48.688501	-98.378094	3801961740	01759378
Perth	Walsh	52	34.696	1.244	48.243948	-98.089000	3809961820	01036522
Petersburg	Nelson	29	46.258	1.087	47.962079	-97.957505	3806361900	01036568
Peterson	Stutsman	34	34.509	1.738	46.940293	-99.373195	3809361940	01036477
Petersville	Kidder	15	34.012	1.929	47.179948	-99.555396	3804361980	01759475
Pettibone	Kidder	45	32.134	3.621	47.107071	-99.544763	3804362100	02397853
Pickard	Williams	276	35.779	0.061	48.240484	-103.548351	3810562140	01036989
Pickard	Sheridan	28	34.824	1.215	47.464136	-100.622456	3808362180	01759635
Pickering	Bottineau	193	35.557	0.013	48.856489	-100.513696	3800962300	01759290
Picton	Towner	27	44.107	0.221	48.948349	-99.447357	3809562420	01759661
Pierce	Barnes	74	35.173	0.166	47.205307	-98.386921	3800362460	01036440
Pilot Mound	Griggs	41	36.063	0.134	47.636043	-98.181971	3803962580	01036651
Pingree	Stutsman	49	34.959	0.707	47.200177	-98.900819	3809362660	01036502
Pipestem Valley	Stutsman	35	35.609	0.233	47.200594	-99.032869	3809362740	01036503
Plain	Renville	30	35.778	0.352	48.509998	-101.636454	3807562900	01759615
Plainview	Stutsman	40	35.912	0.045	47.102590	-98.900913	3809362940	01036488
Plaza	Mountrail	38	36.174	0.000	47.978371	-101.935687	3806163020	01036941
Pleasant	Cass	468	36.618	0.067	46.666649	-96.858760	3801763100	01036351
Pleasant Hill	Kidder	56	35.446	0.514	46.857568	-100.014189	3804363140	01037071
Pleasant Lake	Benson	74	34.053	2.527	48.332940	-99.775400	3800563200	01759255
Pleasant Prairie	Eddy	32	34.564	0.248	47.623650	-98.936777	3802763220	01759411
Pleasant Valley	Williams	121	36.342	0.000	48.328365	-102.892724	3810563260	01037108
Pleasant View	Grand Forks	138	36.053	0.001	47.807814	-97.444658	3803563300	01036596
Plumer	Divide	11	34.882	1.168	48.756942	-103.388664	3802363340	01759395
Plymouth	Grand Forks	68	36.048	0.062	48.061269	-97.841404	3803563380	01036621
Pomona View	LaMoure	22	35.844	0.122	46.333628	-98.840326	3804563500	01036892
Pontiac	Cass	100	35.120	0.796	46.666003	-97.608769	3801763580	01036357
Pony Gulch	Wells	45	35.107	0.018	47.624935	-99.965853	3810363620	01037151
Poplar Grove	Ramsey	218	16.220	18.824	48.079414	-99.021504	3807163680	01759591
Port Emma	Dickey	35	26.493	0.486	45.986888	-98.204943	3802163820	01036743
Portal	Burke	24	42.578	0.194	48.944977	-102.601028	3801363780	02397856
Porter	Dickey	50	35.272	0.268	46.234041	-98.450557	3802163860	01036773
Potsdam	Dickey	38	34.467	0.042	46.237090	-98.701003	3802163980	01036778
Potter	Barnes	34	32.770	2.787	46.937841	-98.259076	3800364020	01036421
Powers	Mountrail	35	34.406	1.613	48.505884	-102.550760	3806164100	01037092
Powers Lake	Mountrail	54	35.563	0.309	48.496086	-102.689781	3806164180	01037198
Prairie	LaMoure	43	36.121	0.013	46.594439	-98.212048	3804564220	01036911
Prairie Centre	Walsh	107	36.186	0.000	48.325434	-97.578750	3809964270	01036527
Pratt	McHenry	50	35.977	0.022	48.581810	-100.983820	3804964420	01759509
Prescott	Renville	28	35.949	0.073	48.494881	-101.114200	3807564460	01759616
Preston	Ransom	79	35.666	0.039	46.580076	-97.836306	3807364500	01036883
Pretty Rock	Grant	13	35.816	0.007	46.157439	-101.809643	3803764580	01759440
Primrose	Steele	73	35.921	0.000	47.455028	-97.537521	3809164660	01036665
Progress	Wells	20	34.864	0.992	47.363449	-99.703883	3810364700	01037129
Prophets	Sheridan	23	35.485	0.554	47.544841	-100.619840	3808364715	01848620
Prospect	Ramsey	26	35.763	0.227	48.492687	-98.504396	3807164740	01759592
Prosperity	Renville	26	43.394	0.034	48.944315	-101.813831	3807564820	01759617
Pulaski	Walsh	88	34.139	0.338	48.316900	-97.200171	3809964860	01036524
Purcell	Mountrail	58	35.498	0.413	48.247338	-102.353035	3806164900	01037047
