Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 13, 1987	at Denver Broncos	L 17-40	Mile High Stadium	0-1	75,999
2	September 20, 1987	Kansas City Chiefs	W 43-14	Kingdome	1-1	61,667
3	September 27, 1987	at San Diego Chargers	Cancelled due to player's strike	Cancelled due to player's strike	Cancelled due to player's strike	Cancelled due to player's strike
4	October 4, 1987	Miami Dolphins	W 24-20	Kingdome	2-1	19,448
5	October 11, 1987	Cincinnati Bengals	L 10-17	Kingdome	2-2	31,739
6	October 18, 1987	at Detroit Lions	W 37-14	Pontiac Silverdome	3-2	8,310
7	October 25, 1987	at Los Angeles Raiders	W 35-13	Los Angeles Memorial Coliseum	4-2	52,735
8	November 1, 1987	Minnesota Vikings	W 28-17	Kingdome	5-2	61,134
9	November 9, 1987	at New York Jets	L 14-30	The Meadowlands	5-3	60,452
10	November 15, 1987	Green Bay Packers	W 24-13	Kingdome	6-3	60,963
11	November 22, 1987	San Diego Chargers	W 34-3	Kingdome	7-3	62,144
12	November 30, 1987	Los Angeles Raiders	L 14-37	Kingdome	7-4	62,802
13	December 6, 1987	at Pittsburgh Steelers	L 9-13	Three Rivers Stadium	7-5	48,881
14	December 13, 1987	Denver Broncos	W 28-21	Kingdome	8-5	61,759
15	December 20, 1987	at Chicago Bears	W 34-21	Soldier Field	9-5	62,518
