Date	Visitor	Score	Home	Decision	Attendance	Record
January 2	Dallas	1 – 4	Detroit	Turco	20,066	23–14–4
January 3	Dallas	3 – 6	Minnesota	Smith	18,568	23–15–4
January 5	Detroit	3 – 0	Dallas	Smith	18,584	23–16–4
January 7	Minnesota	1 – 3	Dallas	Turco	17,502	24–16–4
January 9	Dallas	3 – 1	Chicago	Turco	15,469	25–16–4
January 10	Dallas	2 – 4	St. Louis	Smith	16,805	25–17–4
January 12	Dallas	3 – 4	Los Angeles	Turco	16,916	25–17–5
January 15	Dallas	2 – 4	Anaheim	Turco	17,174	25–18–5
January 17	Dallas	4 – 2	San Jose	Turco	17,496	26–18–5
January 19	Columbus	1 – 3	Dallas	Smith	17,811	27–18–5
January 20	Anaheim	2 – 5	Dallas	Turco	18,461	28–18–5
January 22	Columbus	4 – 2	Dallas	Smith	17,087	28–19–5
January 24	Buffalo	2 – 1	Dallas	Turco	18,532	28–20–5
January 29	Dallas	4 – 3	Vancouver	Turco	18,630	29–20–5
