Nat.	Name	Since	Goals	Transfer fee	Notes
DEN	Ankergren	2007	0	Undisclosed	Leeds United
ENG	Richardson ( captain )	2001	5	Youth system	Leeds United
ENG	Huntington	2007	2	£200k	BBC Sport
IRE	Douglas	2005	11	Undisclosed	Sky Sports
ANG	Rui Marques	2005	4	Free	Leeds United
SVK	Michalík	2007	1	£200k	Leeds United
ENG	Prutton	2007	4	Free	Leeds United
AUS ENG	Kilkenny	2008	5	£150k	Birmingham City
ENG	Beckford	2006	54	£ 50k	Leeds United
ARG	Becchio	2008	19	£300k	Leeds United
IRE	Sheehan	2008	2	Undisclosed	Leeds United
ENG	Lucas	2007	0	Free	Leeds United
USA	Grella	2009	0	Free	Leeds United
ENG	Howson	2006	12	Youth system	Leeds United
ENG	Delph	2007	6	Youth system	Leeds United
ENG	Johnson	2008	4	£250k	BBC Sport
ENG	Robinson	2008	6	Free	Leeds United
ENG	Parker	2007	1	Youth system	Leeds United
COD ZAI	Kandol	2006	12	£200k	Leeds United
NGR ENG	Showunmi	2008	5	Free	Leeds United
ENG	Hughes	2007	1	Undisclosed	Leeds United
SCO	Snodgrass	2008	11	£ 35k	Leeds United
SCO	Sweeney	2008	0	£150k	Leeds United
SCO	Martin	2007	0	Undisclosed	Leeds United
NGR ENG	Sodje	2009 2	0	Loan	Leeds United
ENG	Dickinson	2009 2	0	Loan	Leeds United
ENG	Flahavan	2009 2	0	Loan	Leeds United
ENG	Elliott	2007	0	Youth system	Leeds United
ENG	Webb	2008	0	Youth system	Leeds United
ENG	White	2008	0	Youth system	Leeds United
ENG	Falkingham	2008	0	Youth system	Leeds United
ENG	Naylor ( VC )	2009	1	Free	Leeds United
