Res.	Record	Opponent	Method	Round	Time	Location
Win	101–19–7	Alex Rozman	Decision (unanimous)	3	5:00	Davenport, Iowa , United States
Loss	100–19–7	Lee Beane	KO (punches)	1	3:28	Worcester, Massachusetts , United States
Loss	100–18–7	Ryan Fortin	KO (punches)	3	4:04	Dawson Creek, British Columbia , Canada
Win	100–17–7	Aaron Garcia	Submission (neck crank)	1	2:18	Lubbock, Texas , United States
Win	99–17–7	Cal Worsham	Decision (unanimous)	3	5:00	San Jacinto, California , United States
Win	98–17–7	Scott Fraser	Submission (arm-triangle)	1	4:59	Moncton, New Brunswick , Canada
Win	97–17–7	William Hatch	Submission (arm-triangle)	1	4:23	Cold Lake, Alberta , Canada
Win	96–17–7	Tom Benesocky	Submission (arm-triangle choke)	1	1:33	Edmonton, Alberta , Canada
Win	95–17–7	Chad Olmstead	TKO (punches)	2	1:27	Edmonton, Alberta , Canada
Win	94–17–7	Sam Flood	Submission (guillotine choke)	1	4:24	Penticton, British Columbia , Canada
Win	93–17–7	Buddie Dixion	TKO (punches)	2	2:22	Calgary, Alberta , Canada
Win	92–17–7	Eddie Trotter	TKO (doctor stoppage)	1	5:00	Jenkins, Kentucky , United States
Win	91–17–7	Woody Young	Submission (arm-triangle choke)	2	2:31	Sault Ste. Marie, Michigan , United States
Win	90–17–7	Steve Eakins	Decision (unanimous)	3	5:00	Elko, Nevada , United States
Loss	89–17–7	William Richey	Decision (unanimous)	3	5:00	Hagersville, Ontario , Canada
Loss	89–16–7	Pavel Botka	Decision	N/A	N/A	Prague , Czech Republic
Win	89–15–7	Damon Clark	Submission (kimura)	1	2:30	Denver, Colorado , United States
Win	88–15–7	Colin Robinson	Decision (unanimous)	3	N/A	Belfast , Northern Ireland
Win	87–15–7	Ian Asham	Submission (kimura)	N/A	N/A	Ohsweken, Ontario , United States
Win	86–15–7	Don Richards	Decision (unanimous)	3	5:00	Mount Pleasant, Michigan , United States
Win	85–15–7	Jimmy Westfall	Decision (unanimous)	3	5:00	New Mexico , United States
Win	84–15–7	Mark Smith	TKO (corner stoppage)	1	N/A	San José, Costa Rica
Win	83–15–7	Victor Vincelette	Submission (choke)	1	1:35	Camp Verde, Arizona , United States
Win	82–15–7	Terrell Pree	Submission (armbar)	1	4:18	Minot, North Dakota , United States
Win	81–15–7	Jason Keith	Submission (rear naked choke)	1	2:36	Farmington, New Mexico , United States
Win	80–15–7	Kasey Geyer	Submission (rear naked choke)	2	1:25	Norman, Oklahoma , United States
Win	79–15–7	Clifford Coon	Submission (rear naked choke)	1	1:53	Thackerville, Oklahoma , United States
Loss	78–15–7	Dave Legeno	Decision (unanimous)	3	5:00	London , England
Win	78–14–7	Wade Hamilton	Submission (americana)	1	3:08	Mount Pleasant, Michigan , United States
Win	77–14–7	Chris Clark	Submission (heel hook)	1	3:08	Kearney, Nebraska , United States
