Date	Visitor	Score	Home	Leading scorer	Record
2 December 2002	Cavaliers	93–125	Knicks	Dajuan Wagner (25)	2–17
4 December 2002	Bulls	101–111	Cavaliers	Dajuan Wagner (29)	3–17
7 December 2002	Cavaliers	104–112	Bulls	Zydrunas Ilgauskas (28)	3–18
9 December 2002	Bucks	140–133	Cavaliers	Ricky Davis (45)	3–19
11 December 2002	Raptors	83–96	Cavaliers	Dajuan Wagner (33)	4–19
13 December 2002	Cavaliers	100–115	Celtics	Ricky Davis (42)	4–20
14 December 2002	Nuggets	104–111	Cavaliers	Two-way tie (29)	5–20
16 December 2002	SuperSonics	111–98	Cavaliers	Ricky Davis (20)	5–21
18 December 2002	Pistons	111–106	Cavaliers	Zydrunas Ilgauskas (29)	5–22
20 December 2002	Cavaliers	107–109	Pistons	Ricky Davis (42)	5–23
21 December 2002	Celtics	89–82	Cavaliers	Dajuan Wagner (25)	5–24
23 December 2002	Heat	72–74	Cavaliers	Ricky Davis (33)	6–24
27 December 2002	Pacers	113–89	Cavaliers	Zydrunas Ilgauskas (21)	6–25
29 December 2002	Suns	103–84	Cavaliers	Ricky Davis (15)	6–26
30 December 2002	Cavaliers	88–102	Nets	Ricky Davis (24)	6–27
