Name	Year	Propulsion	launched by	Country
Fritz X	1943	none	Air	DE
Henschel Hs 293	1943	Liquid-propellant, then gliding	Air	DE
Kh-55	1984	turbofan	Air	USSR/Russia
Blohm & Voss BV 246	1943	none	Air	DE
Ohka	1943	Solid-propellant	Air	JP
Bat	1942	None	Air	USA
Harpoon	1977	turbojet engine	Air, surface, sub	USA
AS.34 Kormoran	1991	rocket	Air	DE
Penguin	1972	Solid propellant	Air, surface, sub	NOR
AGM-65F Maverick	1972	Solid propellant	Air,	USA
Naval Strike Missile	2009	turbojet and solid fuel booster	Air, surface	NOR
AGM-123 Skipper II	1985	solid-fueled	Air	USA
SS.12/AS.12	1960	solid-fueled	Air, surface	FR
BGM-109B Tomahawk	1983	turbofan	Air, surface, sub	USA
RB 04	1955	solid propellant	Air	SWE
RB 08	1966	turbojet	surface	SWE
RBS-15	1985	turbojet	Air, surface	SWE
Exocet	1979	solid propellant	Air, surface, sub	FR
Gabriel	1962	solid-fuel rocket	Air, surface	IL
Otomat	1977	Turbojet	Surface,Air(Perú)	IT
Martel	1984	solid propellant	Air	UK/FR
Sea Eagle	1985	Turbojet	Air	UK
Sea Skua	1983	solid fuel	Air	UK
LRASM	2013	liquid fuel	Surface	USA
KSShch (SS-N-1 SCRUBBER)	1958	liquid-fuel rocket	Surface	USSR
P-15 Termit (SS-N-2 STYX)	1958	Liquid fuel rocket	Surface	USSR
P-5 Pyatyorka (SS-N-3 SHADDOCK)	1959	turbojet	Surface	USSR
Kh-22 (AS-4 Kitchen)	1962	liquid-fuel rocket	Air	USSR
P-70 Ametist (SS-N-7 STARBRIGHT)	1968	solid rocket	sub	USSR
Moskit (SS-N-22 SUNBURN)	1970	ramjet	Surface, Air	USSR
P-120 Malakhit (SS-N-9 SIREN)	1972	Turbojet, solid fuel	Surface	USSR
P-500 Bazalt (SS-N-12 SANDBOX)	1975	liquid fuel rocket	surface/submerged	USSR
P-800 Oniks (SS-N-26)	1983	ramjet	Surface, Air	USSR
3M-54 Klub (SS-N-27 SIZZLER)	1993	Turbojet	Surface, Sub	USSR
Kh-35 (AS-20 KAYAK)	1983	turbofan	Surface, Air	USSR
Kh-15 (AS-16 Kickback)	1988	solid-fuel rocket	Air	USSR
Hae Sung-I (SSM-700K)	2005	Turbojet	Ship, Surface	S.Korea
SOM (missile)	2006	Turbojet	Air	Turkey
BrahMos	2006	ramjet	Ship,Surface, Air,Sub	India/Russia
