Week	Date	Opponent	Result	Record	TV Time	Attendance
1	September 7, 2003	at Pittsburgh Steelers	L 34–15	0–1–0	CBS 1:00pm	63,157
2	September 14, 2003	Cleveland Browns	W 33–13	1–1–0	CBS 1:00pm	69,473
3	September 21, 2003	at San Diego Chargers	W 24–10	2–1–0	CBS 4:15pm	52,028
4	September 28, 2003	Kansas City Chiefs	L 17–10	2–2–0	CBS 4:15pm	69,459
5	Bye	Bye	Bye	Bye	Bye	Bye
6	October 12, 2003	at Arizona Cardinals	W 26–18	3–2–0	CBS 4:15pm	24,193
7	October 19, 2003	at Cincinnati Bengals	L 34–26	3–3–0	CBS 1:00pm	53,553
8	October 26, 2003	Denver Broncos	W 26–6	4–3–0	CBS 1:00pm	69,723
9	November 2, 2003	Jacksonville Jaguars	W 24–17	5–3–0	CBS 1:00pm	69,486
10	November 9, 2003	at St. Louis Rams	L 33–22	5–4–0	ESPN 8:30pm	66,085
11	November 16, 2003	at Miami Dolphins	L 9–6 OT	5–5–0	CBS 1:00pm	73,333
12	November 23, 2003	Seattle Seahawks	W 44–41 OT	6–5–0	FOX 1:00pm	69,477
13	November 30, 2003	San Francisco 49ers	W 44–6	7–5–0	FOX 1:00pm	69,549
14	December 7, 2003	Cincinnati Bengals	W 31–13	8–5–0	CBS 1:00pm	69,468
15	December 14, 2003	at Oakland Raiders	L 20–12	8–6–0	CBS 4:15pm	45,398
16	December 21, 2003	at Cleveland Browns	W 35–0	9–6–0	CBS 1:00pm	72,548
17	December 28, 2003	Pittsburgh Steelers	W 13–10 OT	10–6–0	ESPN 8:30pm	70,001
