Place	Player	Country	Score	To par	Money ( $ )
1	Fred Couples	United States	69-67-69-70=275	–13	270,000
2	Raymond Floyd	United States	69-68-69-71=277	–11	162,000
3	Corey Pavin	United States	72-71-68-67=278	–10	102,000
T4	Mark O'Meara	United States	74-67-69-70=280	–8	66,000
T4	Jeff Sluman	United States	65-74-70-71=280	–8	66,000
T6	Ian Baker-Finch	Australia	70-69-68-74=281	–7	43,829
T6	Nolan Henke	United States	70-71-70-70=281	–7	43,829
T6	Larry Mize	United States	73-69-71-68=281	–7	43,829
T6	Greg Norman	Australia	70-70-73-68=281	–7	43,829
T6	Steve Pate	United States	73-71-70-67=281	–7	43,829
T6	Nick Price	Zimbabwe	70-71-67-73=281	–7	43,829
T6	Ted Schulz	United States	68-69-72-72=281	–7	43,829
