Outcome	Date	Tournament	Partner	Opponents in the final	Score in the final
Runner-up	1972	London/Queen's Club , England	Jürgen Fassbender	Jim McManus Jim Osborne	6–4, 3–6, 5–7
Winner	1974	Omaha , U.S.	Jürgen Fassbender	Ian Fletcher Kim Warwick	6–2, 6–4
Winner	1974	Baltimore , U.S.	Jürgen Fassbender	Owen Davidson Clark Graebner	7–6, 7–5
Winner	1974	Little Rock , U.S.	Jürgen Fassbender	Vitas Gerulaitis Bob Hewitt	6–0, 6–2
Winner	1974	Calgary , Canada	Jürgen Fassbender	Iván Molina Jairo Velasco, Sr.	6–4, 6–4
Winner	1974	Tempe , U.S.	Jürgen Fassbender	Ian Fletcher Kim Warwick	4–6, 6–4, 7–5
Winner	1974	Oslo , Norway	Haroon Rahim	Jeff Borowiak Vitas Gerulaitis	6–3, 6–2
Winner	1975	Birmingham , U.S.	Jürgen Fassbender	Colin Dowdeswell John Yuill	6–1, 3–6, 7–6
Runner-up	1975	Hampton , U.S.	Jan Pisecky	Ian Crookenden Ian Fletcher	2–6, 7–6, 4–6
Runner-up	1975	Munich , West Germany	Milan Holeček	Wojtek Fibak Jan Kodeš	5–7, 3–6
Runner-up	1975	Barcelona , Spain	Wojtek Fibak	Björn Borg Guillermo Vilas	6–3, 4–6, 3–6
Winner	1975	Paris Indoor , France	Wojtek Fibak	Ilie Năstase Tom Okker	6–4, 7–6
Winner	1975	London, England	Wojtek Fibak	Jimmy Connors Ilie Năstase	6–1, 7–5
Runner-up	1976	Atlanta WCT , U.S.	Wojtek Fibak	John Alexander Phil Dent	3–6, 4–6
Runner-up	1976	Barcelona WCT , Spain	Wojtek Fibak	Robert Lutz Ramsey Smith	3–6, 3–6
Winner	1976	Nuremberg , West Germany	Frew McMillan	Colin Dowdeswell Peter Kronk	7–6, 6–4
Runner-up	1976	Nice , France	Wojtek Fibak	Patrice Dominguez François Jauffret	4–6, 6–3, 3–6
Winner	1976	Monte Carlo WCT , Monaco	Wojtek Fibak	Björn Borg Guillermo Vilas	7–6, 6–1
Winner	1976	World Doubles WCT , Kansas City	Wojtek Fibak	Robert Lutz Ramsey Smith	6–3, 2–6, 3–6, 6–3, 6–4
Winner	1976	Düsseldorf , West Germany	Wojtek Fibak	Bob Carmichael Raymond Moore	6–4, 4–6, 6–4
Winner	1977	Hamburg , West Germany	Bob Hewitt	Phil Dent Kim Warwick	3–6, 6–3, 6–4, 6–4
Winner	1977	Düsseldorf , West Germany	Jürgen Fassbender	Paul Kronk Cliff Letcher	6–3, 6–3
Winner	1977	Gstaad , Switzerland	Jürgen Fassbender	Colin Dowdeswell Bob Hewitt	6–4, 7–6
Winner	1979	Nancy , France	Klaus Eberhard	Robin Drysdale Andrew Jarrett	4–6, 7–6, 6–3
