Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner–up	30-Apr-2001	Florianópolis ,BRA	Clay	Tassia Sono	Ana Lucia Migliarini De Leon Claudia Salgues	3-6,6-3 4-6
Winner	25-Jun-2001	Elvas ,POR	Hard	Ana Catarina Nogueira	Oleksandra Kravets Arantxa Parra Santonja	6-3 6-4
Winner	06-Aug-2001	Lima ,PER	Clay	Carla Tiene	Daniela Alvarez Ana Lucia Migliarini De Leon	0-6 6-3 6-2
Winner	27-Aug-2001	Asunción ,PAR	Clay	Carla Tiene	Natalia Gussoni Claudia Salgues	2-6 6-3 6-3
Winner	25-Nov-2001	Cali ,COL	Clay	Livia Azzi	Mariana Correa Romy Farah	7-5 6-1
Runner–up	06-Apr-2002	Monterey ,MEX	Hard	Olga Kalyuzhnaya	Melisa Arevalo Vanessa Menga	2-6,1-6
Runner–up	06-Apr-2002	Belo Horizonte ,BRA	Hard	Vanessa Menga	Celeste Contin Romina Ottoboni	4-6,6-2,5-7
Winner	05-Aug-2002	Rimini , ITALY	Clay	Carla Tiene	Eva Fislova Stanislava Hrozenska	6-4,6-4
Runner–up	12-Aug-2002	Aosta , ITALY	Clay	Andreea Ehritt-Vanc	Katarina Misic Dragana Zaric	5-7,6-7
Runner–up	10-Mar-2003	Matamoros , MEX	Hard	Melisa Arevalo	Joana Cortez Carla Tiene	0-6,5-7
Runner-up	09-Jun-2003	Hamilton , CAN	Clay	Aneta Soukup	Alyssa Cohen Diana Srebrovic	1-6,6-3 3-6
Runner–up	16-Jun-2003	Poza Rica , MEX	Hard	Melisa Arevalo	Florencia Rivolta Carla Tiene	3-6,3-6
Runner–up	23-Jun-2003	Ciudad Victoria , MEX	Hard	Carla Tiene	Soledad Esperon Flavia Mignola	7-5,6-7 5-7
Winner	30-Jun-2003	Mexico City , MEX	Hard	Carla Tiene	Melisa Arevalo Micaela Moran	7-6 (7) 6-2
Winner	14-Jul-2003	Campos do Jordão , Brazil	Hard	Carla Tiene	Melisa Arevalo Frederica Piedade	7-6 (7) 6-2
Winner	22-Sep-2003	Raleigh, North Carolina , USA	Clay	Tiffany Davis	Maureen Drake Edina Gallovits-Hall	2-6 6-3 6-1
Runner–up	10-Nov-2003	Mexico City , MEX	Hard	Carla Tiene	Bruna Colosio Joana Cortez	6-1,3-6 1-6
Winner	29-Mar-2004	Rabat , MOROCCO	Clay	Carla Tiene	Daniela Klemenschits Sandra Klemenschits	6-1 7-6 (7)
