Place	Competitor	Downhill	Slalom	Average
1	Franz Pfnür ( GER )	98.49	100.00	99.25
2	Gustav Lantschner ( GER )	96.38	96.13	96.26
3	Émile Allais ( FRA )	96.18	93.20	94.69
4	Birger Ruud ( NOR )	100.00	86.75	93.38
5	Roman Wörndle ( GER )	95.42	86.90	91.16
6	Rudolf Cranz ( GER )	94.54	87.52	91.03
7	Giacinto Sertorelli ( ITA )	94.23	86.54	90.39
8	Alf Konningen ( NOR )	95.67	84.45	90.06
9	Per Fossum ( NOR )	94.79	81.44	88.12
10	Dick Durrance ( USA )	90.89	84.59	87.74
11	Maurice Lafforgue ( FRA )	87.25	84.40	85.83
12	Peter Lunn ( GBR )	85.64	81.99	83.82
13	George Page ( USA )	83.84	81.86	82.85
14	James Palmer-Tomkinson ( GBR )	81.88	83.15	82.52
15	Ciril Praček ( YUG )	84.68	78.40	81.54
16	Walter Hollmann ( TCH )	83.16	78.86	81.01
17	Adriano Guarnieri ( ITA )	88.05	73.82	80.94
18	Vittorio Chierroni ( ITA )	89.81	71.79	80.80
19	László Szalay ( HUN )	76.76	82.59	79.68
20	Bronisław Czech ( POL )	82.97	75.84	79.41
21	Johann Knahl ( TCH )	81.56	75.26	78.41
22	Roland Allard ( FRA )	82.26	73.45	77.86
23	Robert Livermore ( USA )	78.87	75.49	77.18
24	Horst Scheeser ( ROU )	79.09	74.00	76.55
25	Franci Čop ( YUG )	76.93	74.83	75.88
26	Wilhelm Pick ( TCH )	82.21	68.38	75.30
27	Károly Kővári ( HUN )	79.74	70.35	75.05
28	Karol Zając ( POL )	75.51	74.23	74.87
29	Christopher Hudson ( GBR )	71.60	76.24	73.92
30	Imre Csík ( HUN )	82.54	61.93	72.24
31	Bertil Persson ( SWE )	74.46	67.43	70.95
32	Fedor Weinschenck ( POL )	74.46	56.87	65.67
33	Emil Žnidar ( YUG )	59.60	64.07	61.84
