Edition	Zone	Round	Against	Surface	Partner	Opponents	Result
1997	Europe/Africa Group II A	RR	Estonia	Clay	Sofie Albinus	Helen Laupa Liina Suurvarik	6–1, 6–1
1997	Europe/Africa Group II A	RR	Lithuania	Clay	Mette Iversen	Vaida Martinkute Galina Misiuriova	6–3, 6–1
1997	Europe/Africa Group II A	RR	Great Britain	Clay	Sofie Albinus	Julie Pullin Lorna Woodroffe	4–6, 2–6
1998	Europe/Africa Group II A	RR	Lithuania	Clay	Maria Rasmussen	Ruta Deduraite Edita Liachoviciute	6–2, 6–0
1998	Europe/Africa Group II A	RR	Algeria	Clay	Maria Rasmussen	Feriel Esseghir Lamia Hameurlaine	6–2, 6–1
1999	Europe/Africa Group I A	RR	South Africa	Clay	Charlotte Aagaard	Amanda Coetzer Liezel Horn	2–6, 2–6
1999	Europe/Africa Group I A	RR	Latvia	Clay	Charlotte Aagaard	Katrina Bandere Larisa Savchenko	3–6, 4–6
2000	Europe/Africa Group II B	RR	Botswana	Clay	Charlotte Aagaard	Kelesitse Makgale Ntswaki Mawela	6–0, 6–2
2000	Europe/Africa Group II B	RR	Bosnia and Herzegovina	Clay	Charotte Aagaard	Medina Bajrambašić Lejla Husić	6–1, 6–1
2001	Europe/Africa Group I D	RR	Luxembourg	Clay	Karina-Ildor Jacobsgaard	Mandy Minella Claudine Schaul	6–0, 6–3
2001	Europe/Africa Group I D	RR	Bulgaria	Clay	Maria Rasmussen	Antoaneta Pandjerova Desislava Topalova	1–6, 4–6
2003	Europe/Africa Group I C	RR	Ukraine	Clay	Mette Iversen	Yuliya Beygelzimer Elena Tatarkova	7–6 (7–3) , 6–4
2003	Europe/Africa Group I C	RR	Romania	Clay	Mette Iversen	Edina Gallovits Magda Mihalache	6–7 (2–7) , 6–4, 6–0
2006	Europe/Africa Group I B	RR	South Africa	Clay	Hanne Skak Jensen	Lizaan Du Plessis Alicia Pillay	6–2, 6–0
2006	Europe/Africa Group I B	RR	Slovenia	Clay	Hanne Skak Jensen	Tina Obrež Diana Nakič	3–1
2007	Europe/Africa Group I A	RR	Switzerland	Clay	Hanne Skak Jensen	Timea Bacsinszky Emmanuelle Gagliardi	5–7, 1–6
2007	Europe/Africa Group I A	RR	Netherlands	Clay	Caroline Wozniacki	Elise Tamaëla Nicole Thijssen	4–6, 6–3, 6–4
2007	Europe/Africa Group I A	RR	Romania	Clay	Caroline Wozniacki	Mădălina Gojnea Monica Niculescu	4–6, 5–7
2007	Europe/Africa Group I A	SF	Hungary	Clay	Hanne Skak Jensen	Kyra Nagy Ágnes Szávay	4–6, 7–5, 0–6
2008	Europe/Africa Group I A	RR	Hungary	Carpet (i)	Karina-Ildor Jacobsgaard	Gréta Arn Ágnes Szávay	2–6, 2–6
2008	Europe/Africa Group I A	RR	Switzerland	Carpet (i)	Karina-Ildor Jacobsgaard	Patty Schnyder Stefanie Vögele	1–6, 6–1, 4–6
2008	Europe/Africa Group I A	RR	Great Britain	Carpet (i)	Caroline Wozniacki	Elena Baltacha Anne Keothavong	6–3, 6–2
2009	Europe/Africa Group I C	RR	Belarus	Hard	Caroline Wozniacki	Victoria Azarenka Olga Govortsova	0–6, 4–6
2009	Europe/Africa Group I C	RR	Austria	Hard	Hanne Skak Jensen	Melanie Klaffner Sandra Klemenschits	2–6, 3–6
