-	Song	English Translation	Original Album	Composer	Worship Leader	Supporting Vocal	Duration
1	Para Exaltarte	Your Name High	This Is Our God	Joel Houston	Joel Houston	None	4:02
2	Correré	Run	This Is Our God	Joel Houston	Toni Romero	None	3:22
3	Hosanna	Hosanna	Saviour King	Brooke Fraser	Darlene Zschech	None	6:08
4	Desde Mi Interior	From The Inside Out	Unidos Permanecemos	Joel Houston	Jad Gillies	None	6:13
5	Canción Del Desierto	Desert Song	This Is Our God	Brooke Fraser	Annie Garratt	None	4:16
6	En la Cruz	At The Cross	Mighty to Save	Darlene Zschech & Reuben Morgan	Darlene Zschech	None	6:20
7	Rey Salvador	Saviour King	Saviour King	Marty Sampson & Mia Fields	Dave Ware	None	8:02
8	Poderoso Para Salvar	Mighty to Save	Mighty to Save	Reuben Morgan & Ben Fielding	Reuben Morgan	Darlene Zschech	5:34
9	Soy Libre	Break Free	Saviour King	Joel Houston, Matt Crocker & Scott Ligertwood	Matt Crocker	None	3:59
10	Poderoso	Stronger	This Is Our God	Reuben Morgan & Ben Fielding	Jad Gillies	Darlene Zschech	4:37
11	Sólo Cristo	None But Jesus	Unidos Permanecemos	Brooke Fraser	Brooke Fraser	None	7:07
12	Es Nuestro Dios	This is Our God	This Is Our God	Reuben Morgan	Reuben Morgan & Darlene Zschech	None	6:10
13	Eres Mi Fortaleza	You Are My Strength	Saviour King	Reuben Morgan	Reuben Morgan	None	4:53
