Rank	Rider	Team	Speed	Time
1	Cameron Donald	Suzuki GSXR 1000cc	125.776mph	1:11.59.68
2	John McGuinness	Honda 1000cc	125.338mph	1:12.14.76
3	Guy Martin	Honda 1000cc	125.253mph	1:12.17.71
4	Ryan Farquhar	Kawasaki ZX10 1000cc	124.776mph	1:13.34.98
5	Conor Cummins	Yamaha R1 1000cc	124.605mph	1:12.40.28
6	Adrian Archibald	Suzuki GSXR 1000cc	123.596mph	1:13.15.87
7	Ian Lougher	Yamaha R1 1000cc	123.103mph	1:13.33.48
8	Steve Plater	Yamaha R1 1000cc	122.897mph	1:13.40.87
9	Carl Rennie	Suzuki GSXR 1000cc	122.732mph	1:13.46.81
10	Daniel Stewart	Yamaha R1	120.001mph	1:14.13.33
