District	Incumbent	Party	First elected	Results
North Carolina 1	G. K. Butterfield	Democratic	2004	Re-elected
North Carolina 2	Bob Etheridge	Democratic	1996	Re-elected
North Carolina 3	Walter Jones Jr.	Republican	1994	Re-elected
North Carolina 4	David Price	Democratic	1996	Re-elected
North Carolina 5	Virginia Foxx	Republican	2004	Re-elected
North Carolina 6	Howard Coble	Republican	1984	Re-elected
North Carolina 7	Mike McIntyre	Democratic	1996	Re-elected
North Carolina 8	Robin Hayes	Republican	1998	Re-elected
North Carolina 9	Sue Myrick	Republican	1994	Re-elected
North Carolina 10	Patrick McHenry	Republican	2004	Re-elected
North Carolina 11	Charles Taylor	Republican	1990	Lost re-election Democratic gain
North Carolina 12	Mel Watt	Democratic	1992	Re-elected
North Carolina 13	Brad Miller	Democratic	2002	Re-elected
