#	Spacecraft	Spacewalkers	Start ( UTC )	End (UTC)	Duration
284.	Expedition 16 EVA 5	Peggy Whitson Daniel Tani	January 30, 2008 09:56	January 30, 2008 17:06	7 hours, 10 minutes
285.	STS-122 EVA 1	Rex J. Walheim Stanley G. Love	February 11, 2008 14:13	February 11, 2008 22:11	7 hours, 58 minutes
286.	STS-122 EVA 2	Rex J. Walheim Hans Schlegel	February 13, 2008 14:27	February 13, 2008 21:12	6 hours, 45 minutes
287.	STS-122 EVA 3	Rex J. Walheim Stanley G. Love	February 15, 2008 13:07	February 15, 2008 20:32	7 hours, 25 minutes
288.	STS-123 EVA 1	Richard M. Linnehan Garrett Reisman	March 14, 2008 01:18	March 14, 2008 08:19	7 hours, 1 minute
289.	STS-123 EVA 2	Richard Linnehan Michael J. Foreman	March 15, 2008 23:49	March 16, 2008 06:57	7 hours, 8 minutes
290.	STS-123 EVA 3	Richard Linnehan Robert L. Behnken	March 17, 2008 22:51	March 18, 2008 05:44	6 hours, 53 minutes
291.	STS-123 EVA 4	Robert Behnken Michael Foreman	March 20, 2008 22:04	March 21, 2008 04:28	6 hours, 24 minutes
292.	STS-123 EVA 5	Robert Behnken Michael Foreman	March 22, 2008 20:34	March 23, 2008 02:36	6 hours, 02 minutes
293.	STS-124 EVA 1	Ronald J. Garan, Jr. Michael E. Fossum	June 3, 2008 16:22	June 3, 2008 23:10	6 hours, 48 minutes
294.	STS-124 EVA 2	Ronald J. Garan, Jr. Michael E. Fossum	June 5, 2008 15:04	June 4, 2008 22:15	7 hours, 11 minutes
295.	STS-124 EVA 3	Ronald J. Garan, Jr. Michael E. Fossum	June 8, 2008 13:55	June 8, 2008 20:28	6 hours 33 minutes
296.	Expedition 17 EVA 1	Sergei Volkov Oleg Kononenko	July 10, 2008 18:48	July 11, 2008 01:06	6 hours 18 minutes
297.	Expedition 17 EVA 2	Sergei Volkov Oleg Kononenko	July 15, 2008 17:08	July 15, 2008 23:02	5 hours 54 minutes
298.	Shenzhou 7 EVA 1	Zhai Zhigang Liu Boming (Stand up only)	September 27, 2008 08:38	September 27, 2008 09:00	0 hours 22 minutes
299.	STS-126 EVA 1	Heidemarie Stefanyshyn-Piper Stephen G. Bowen	November 18, 2008 18:09	November 19, 2008 01:01	6 hours, 52 minutes
300.	STS-126 EVA 2	Heidemarie Stefanyshyn-Piper Robert S. Kimbrough	November 20, 2008 17:58	November 21, 2008 00:43	6 hours, 45 minutes
301.	STS-126 EVA 3	Heidemarie Stefanyshyn-Piper Stephen G. Bowen	November 22, 2008 18:01	November 23, 2008 01:58	6 hours, 57 minutes
302.	STS-126 EVA 4	Stephen G. Bowen Robert S. Kimbrough	November 24, 2008 18:24	November 25, 2008 00:31	6 hours, 7 minutes
