Nat.	Name	Moving from	Type	Transfer window	Ends
NED	Van der Vaart	Hamburger SV	Transfer	Summer	2013
ESP	Javi García	Osasuna	Transfer	Summer	2012
ESP	De la Red	Getafe	Transfer	Summer	2011
ARG	Garay	RacingSantander	Transfer	Summer	2014
ESP	González	Gimnàstic	Loan Return	Summer	Undisclosed
URY	García	Murcia	Loan Return	Summer	Undisclosed
ESP	Agus	Celta de Vigo	Loan Return	Summer	Undisclosed
ESP	Granero	Getafe	Loan Return	Summer	Undisclosed
NED	Huntelaar	Ajax	Transfer	Winter	2013
FRA	Lass	Portsmouth	Transfer	Winter	2013
ESP	Parejo	Queens Park Rangers	Loan Return	Winter	2017
FRA	Faubert	West Ham United	Loan	Winter	2009
