Tie no	Home team	Score	Away team	Attendance
1	Liverpool	7–0	Rochdale	28,126
2	Southampton	3–0	Portsmouth	7 January 1996
3	Watford	1–1	Wimbledon	6 January 1996
Replay	Wimbledon	1–0	Watford	17 January 1996
4	Reading	3–1	Gillingham	6 January 1996
5	Walsall	1–0	Wigan Athletic	6 January 1996
6	Leicester City	0–0	Manchester City	6 January 1996
Replay	Manchester City	5–0	Leicester City	17 January 1996
7	Notts County	1–2	Middlesbrough	6 January 1996
8	Aston Villa	3–0	Gravesend & Northfleet	6 January 1996
9	Grimsby Town	7–1	Luton Town	6 January 1996
10	Crewe Alexandra	4–3	West Bromwich Albion	6 January 1996
11	Derby County	2–4	Leeds United	7 January 1996
12	Everton	2–2	Stockport County	7 January 1996
Replay	Stockport County	2–3	Everton	17 January 1996
13	Swindon Town	2–0	Woking	6 January 1996
14	Ipswich Town	0–0	Blackburn Rovers	6 January 1996
Replay	Blackburn Rovers	0–1	Ipswich Town	16 January 1996
15	Tranmere Rovers	0–2	Queens Park Rangers	6 January 1996
16	Fulham	1–1	Shrewsbury Town	6 January 1996
Replay	Shrewsbury Town	2–1	Fulham	16 January 1996
17	Barnsley	0–0	Oldham Athletic	6 January 1996
Replay	Oldham Athletic	2–1	Barnsley	23 January 1996
18	West Ham United	2–0	Southend United	6 January 1996
19	Manchester United	2–2	Sunderland	6 January 1996
Replay	Sunderland	1–2	Manchester United	16 January 1996
20	Norwich City	1–2	Brentford	6 January 1996
21	Plymouth Argyle	1–3	Coventry City	6 January 1996
22	Bradford City	0–3	Bolton Wanderers	6 January 1996
23	Millwall	3–3	Oxford United	6 January 1996
Replay	Oxford United	1–0	Millwall	16 January 1996
24	Crystal Palace	0–0	Port Vale	6 January 1996
Replay	Port Vale	4–3	Crystal Palace	16 January 1996
25	Chelsea	1–1	Newcastle United	7 January 1996
Replay	Newcastle United	2–2	Chelsea	17 January 1996
Chelsea won 4–2 on penalties	Chelsea won 4–2 on penalties	Chelsea won 4–2 on penalties	Chelsea won 4–2 on penalties	Chelsea won 4–2 on penalties
26	Huddersfield Town	2–1	Blackpool	6 January 1996
27	Charlton Athletic	2–0	Sheffield Wednesday	6 January 1996
28	Arsenal	1–1	Sheffield United	6 January 1996
Replay	Sheffield United	1–0	Arsenal	17 January 1996
29	Hereford United	1–1	Tottenham Hotspur	6 January 1996
Replay	Tottenham Hotspur	5–1	Hereford United	17 January 1996
30	Stoke City	1–1	Nottingham Forest	6 January 1996
Replay	Nottingham Forest	2–0	Stoke City	17 January 1996
31	Peterborough United	1–0	Wrexham	6 January 1996
32	Birmingham City	1–1	Wolverhampton Wanderers	6 January 1996
Replay	Wolverhampton Wanderers	2–1	Birmingham City	17 January 1996
