Country ( exonym )	Capital ( exonym )	Country ( endonym )	Capital ( endonym )	Official or native language(s) (alphabet/script)
Afghanistan	Kabul	Afghanestan افغانستان	Kaalu كابل	Pashto / Dari ( Arabic script )
Albania	Tirana	Shqipëria	Tiranë	Albanian
American Samoa	Pago Pago	Amerika Sāmoa American Samoa	Pago Pago Pago Pago	Samoan English
Andorra	Andorra la Vella	Andorra	Andorra la Vella	Catalan
Angola	Luanda	Angola	Luanda	Portuguese
Anguilla	The Valley	Anguilla	The Valley	English
Antigua and Barbuda	Saint John's	Antigua and Barbuda	St. John's	English
Argentina	Buenos Aires	Argentina	Buenos Aires	Spanish
Armenia	Yerevan	Hayastán Հայաստան	Yerevan Երեվան	Armenian ( Armenian alphabet )
Aruba	Oranjestad	Aruba Aruba	Oranjestad Oranjestad	Dutch Papiamento
Australia	Canberra	Australia	Canberra	English / Aboriginal native languages
Austria	Vienna	Österreich	Wien	German
