Res.	Record	Opponent	Method	Round	Time	Location
Win	14-4	Roxanne Modafferi	Decision (unanimous)	2	5:00	Koto, Tokyo , Japan
Loss	13-4	Cat Zingano	KO (slam)	3	4:42	Denver, Colorado , United States
Loss	13-3	Tara LaRosa	Decision (unanimous)	5	5:00	Atlantic City, New Jersey , United States
Loss	13-2	Sarah Kaufman	Decision (unanimous)	5	5:00	San Jose, California , United States
Win	13-1	Chisa Yonezawa	Submission (rear-naked choke)	2	1:43	Tokyo , Japan
Win	12-1	Amanda Buckner	Decision (unanimous)	3	5:00	Los Angeles, California , United States
Win	11-1	Hitomi Akano	Decision (unanimous)	3	5:00	Tokyo , Japan
Win	10-1	Hee Jin Lee	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	9-1	Sybil Starr	Submission (armbar)	1	2:47	Tokyo , Japan
Win	8-1	Miki Morifuji	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	7-1	Kinuka Sasaki	Submission (rear-naked choke)	1	2:31	Tokyo , Japan
Win	6-1	Kazuma Morohoshi	Decision (unanimous)	2	5:00	Tokyo , Japan
Loss	5-1	Hitomi Akano	Submission (armbar)	1	1:19	Tokyo , Japan
Win	5-0	Yukari	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	4-0	Yoko Hattori	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	3-0	Yumiko Sugimoto	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	2-0	Mika Harigai	Submission (rear-naked choke)	2	4:28	Tokyo , Japan
Win	1-0	Natsuko Kikukawa	Decision (unanimous)	2	5:00	Tokyo , Japan
