Date	English Name	Chinese Name	Tamil Name	Type
1 January	New Year's Day	公曆新年	கிரிகோரியன் புத்தாண்டு	Gregorian
1 May	Labour Day	勞動節	நாள் மே	Gregorian
June	King of Malaysia 's Birthday	最高元首誕辰	மாநிலம் பிறந்த நாள் உச்ச தலைமை	Gregorian
7 July	Declaration of George Town as World Heritage Site	喬治市文化遗产日	உலக பாரம்பரிய களம் ஜார்ஜ் டவுன் அறிவிப்பு	Gregorian
14 July	Governor of Penang 's Birthday	檳城州元首誕辰	பெர்சுவா பிறந்த நாள்	Gregorian
11 August	Mayor of Georgetown's Birthday	喬治市人民政府	ஜோர்ஜ் டவுன் மாநகர மக்கள் அரசு	Gregorian
31 August	National Independence Day	國慶日	தேசிய தினம்	Gregorian
16 September	Malaysia Day	馬來西亞成立日	மலேஷியா அமைத்தல் நாள்	Gregorian
24 December	Christmas Eve	平安夜	கிறிஸ்துமஸ் ஈவ்	Christian
25 December	Christmas Day	聖誕節	கிறிஸ்து பிறந்த திருநாள்	Christian
26 December	Boxing Day	節禮日	பாக்ஸிங் டே	Christian
31 December	New Year's Eve	前跨新年	மற்ற புத்தாண்டு முன்	Gregorian
1 Muharram	Islamic New Year	回曆新年	ஹிஜிரி புத்தாண்டு	Islamic
12 Rabiul Awal	Birthday of Prophet Muhammad	默罕默德誕辰	முகமது பிறந்த நாள்	Islamic
17 Ramadhan	Day of Nuzul Al-Quran	可蘭經降世日	குரானை இன்றுவரை உலகின் வந்தது	Islamic
1 Syawal	Hari Raya Puasa (1st day)	開齋節 (第1天)	ஈத் அல் பித்ர் (தினம் 1)	Islamic
2 Syawal	Hari Raya Puasa (2nd day)	開齋節 (第2天)	ஈத் அல் பித்ர் (தினம் 1)	Islamic
10 Zulhijah	Hari Raya Qurban	哈芝節	ஹஜ்ஜிப் பெருநாள்	Islamic
Pausha - Magha	Thaipusam	大寶森節	தைப்பூசம்	Indian
1 Kartik	Deepavali	屠妖節	தீபாவளித் திருநாள்	Indian
1st day of the 1st month	Chinese New Year (1st day)	農曆新年 (第1天)	சந்திர புத்தாண்டு (தினம் 1)	Chinese
2nd day of the 1st month	Chinese New Year (2nd day)	農曆新年 (第2天)	சந்திர புத்தாண்டு (தினம் 2)	Chinese
3rd day of the 1st month	Chinese New Year (3rd day)	農曆新年 (第3天)	சந்திர புத்தாண்டு (தினம் 3)	Chinese
15th day of the 1st month	Lantern Festival	元宵節	விளக்கு திருவிழா	Chinese
15th day of the 4th month	Wesak Day	衛塞節	விசாக தினம்	Buddhist
