Pick #	MLS Team	Player	Position	Affiliation
29	Los Angeles Galaxy	Julian Valentin	D	Wake Forest
30	Toronto FC	Mike Zaher	D	UCLA San Fernando Valley Quakes
31	Columbus Crew	Ryan Miller	D	Notre Dame Indiana Invaders
32	New York Red Bulls	Luke Sassano	M	California San Jose Frogs
33	D.C. United	Ryan Cordeiro	M/F	Connecticut
34	Los Angeles Galaxy	Matt Allen	GK	Creighton Des Moines Menace
35	Toronto FC	Joseph Lapira	F	Notre Dame Baton Rouge Capitals
36	Colorado Rapids	Adrian Chevannes	D	SMU
37	Real Salt Lake	Brennan Tennelle	M	UC Santa Barbara
38	Chicago Fire	Dwight Barnett	F	Lynn University Cape Cod Crusaders
39	Kansas City Wizards	Matt Marquess	D	Santa Clara San Jose Frogs
40	Chicago Fire	Stephen King	M	Maryland
41	New England Revolution	Matt Britner	D	Brown
42	Houston Dynamo	Geoff Cameron	M	Rhode Island Rhode Island Stingrays
