Planned pinnacle height	Expected year of completion	Structural type	Country	Town
metres (ft)	2008	Skyscraper	United Arab Emirates	Dubai
metres (ft)	2006	Skyscraper	Malaysia	Kuala Lumpur
metres (ft)	2009	Skyscraper	United Arab Emirates	Dubai
metres (ft)	2009	Skyscraper	Russia	Moscow
metres (ft)	2008	Skyscraper	People's Republic of China	Chongqing
metres (ft)	2009	Skyscraper	United Arab Emirates	Abu Dhabi
metres (ft)	2015	Skyscraper	India	Mumbai
metres (ft)	2009	Skyscraper	Thailand	Pattaya
metres (ft)	2006	Skyscraper	China	Xiamen
metres (ft)	2011	Skyscraper	United Arab Emirates	Dubai
metres (ft)	2008	Skyscraper	Kuwait	Kuwait City
metres (ft)	2006	Skyscraper	China	Dalian
