Rank	Rider	Team	Speed	Time
1	Daniel Kneen	400cc Honda	106.619mph	1:03.41.86
2	Kirk Farrow	400cc Honda	105.905mph	1:04.07.62
3	Ross Johnson	400cc Kawasaki	105.161mph	1:04.34.85
4	Tim Sayers	400cc Kawasaki	105.009mph	1:04.40.47
5	Dan Hobson	400c Honda	104.574mph	1:04.56.60
6	Marie Costello	400cc Honda	103.668mph	1:05.30.66
7	Mike Minns	650cc Kawasaki	103.659mph	1:05.31.01
8	Anthony Davies	399cc Yamaha	103.389mph	1:05.41.28
9	Anthony Redmond	650cc Kawasaki	103.047mph	1:05.54.35
10	Alistair Haworth	400cc Yamaha	103.015mph	1:05.55.58
