Pilot	Organization	Total Flights	USAF space flights	FAI space flights	Max Mach	Max speed (mph)	Max altitude (miles)
Michael J. Adams †	U.S. Air Force	7	1	0	5.59	3822	50.3
Neil Armstrong	NASA	7	0	0	5.74	3989	39.2
Scott Crossfield	North American Aviation	14	0	0	2.97	1959	15.3
William H. Dana	NASA	16	2	0	5.53	3897	58.1
Joseph H. Engle	U.S. Air Force	16	3	0	5.71	3887	53.1
William J. "Pete" Knight	U.S. Air Force	16	1	0	6.70	4519	53.1
John B. McKay	NASA	29	1	0	5.65	3863	55.9
Forrest S. Petersen	U.S. Navy	5	0	0	5.3	3600	19.2
Robert A. Rushworth	U.S. Air Force	34	1	0	6.06	4017	53.9
Milton O. Thompson	NASA	14	0	0	5.48	3723	40.5
Joseph A. Walker	NASA	25	3	2	5.92	4104	67.0
