Year	Channel	Play-by-play	Color commentator(s)	Studio host
1979–80	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1978–79	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1977–78	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1976–77	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1975–76	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1974–75	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1973–74	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1972–73	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1971–72	WSBK-TV	Fred Cusick	Johnny Peirson	Tom Larson
1970–71	WSBK-TV	Don Earle	Johnny Peirson	Tom Larson
